word,coordinations
aided,"53.79391,-1.75206 "
limited,"53.79648,-1.54785 54.97328,-1.61396 55.86515,-4.25763 "
kickstart,"54.97328,-1.61396 "
sauasag,"50.83333,0.13333 "
mackerel,"52.9536,-1.15047 52.9536,-1.15047 50.15201,-5.06654 54.58333,-5.93333 "
child,"53.79648,-1.54785 53.79648,-1.54785 54.66411,-2.75257 50.37771,-4.14082 50.37771,-4.14082 50.15201,-5.06654 50.15201,-5.06654 "
monte,"55.95206,-3.19648 "
yellow,"51.51279,-0.09184 53.79648,-1.54785 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 55.95206,-3.19648 55.95206,-3.19648 50.71936,-3.53271 52.20765,0.13200 "
napolitana,"53.00415,-2.18538 55.95206,-3.19648 "
four,"52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 54.90465,-1.38222 53.79648,-1.54785 53.79648,-1.54785 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.48095,-2.23743 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 53.41058,-2.97794 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 50.71936,-3.53271 55.07216,-3.60218 55.07216,-3.60218 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.45862,-4.62849 54.58333,-5.93333 52.20765,0.13200 50.83333,0.13333 "
nottingham,"52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 "
lauriston,"51.51279,-0.09184 "
accreditations,"53.79391,-1.75206 "
clotted,"50.15201,-5.06654 "
asian,"53.79648,-1.54785 53.79648,-1.54785 53.00415,-2.18538 53.48095,-2.23743 54.89228,-2.93206 "
imperiale,"55.07216,-3.60218 "
cringleford,"52.63220,1.28925 "
appetite,"53.7446,-0.33525 53.79648,-1.54785 53.79391,-1.75206 51.48,-3.18 "
captain,"53.79391,-1.75206 53.48095,-2.23743 55.95206,-3.19648 "
integrity,"54.97328,-1.61396 "
worked,"53.79391,-1.75206 53.48095,-2.23743 50.15201,-5.06654 "
dazs,"52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 53.48095,-2.23743 52.20765,0.13200 "
whose,"53.79391,-1.75206 "
caston,"50.15201,-5.06654 "
aug,"51.51279,-0.09184 "
burslem,"53.00415,-2.18538 "
nouget,"55.86515,-4.25763 "
punjab,"53.79648,-1.54785 "
swan,"53.00415,-2.18538 "
herby,"54.58333,-5.93333 "
moisture,"53.79391,-1.75206 "
tickle,"51.48,-3.18 "
pancetta,"54.77560,-1.58374 55.95206,-3.19648 55.07216,-3.60218 55.86515,-4.25763 55.86515,-4.25763 "
buddi,"53.00415,-2.18538 "
under,"53.7446,-0.33525 52.6386,-1.13169 54.90465,-1.38222 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.00415,-2.18538 53.48095,-2.23743 51.48,-3.18 54.58333,-5.93333 "
regal,"55.95206,-3.19648 "
burgerwith,"51.51279,-0.09184 "
sorry,"52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 52.48142,-1.89983 53.00415,-2.18538 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 51.48,-3.18 51.48,-3.18 55.95206,-3.19648 55.95206,-3.19648 55.07216,-3.60218 55.07216,-3.60218 54.58333,-5.93333 54.58333,-5.93333 50.83333,0.13333 52.63220,1.28925 "
pride,"52.9536,-1.15047 52.9536,-1.15047 53.79648,-1.54785 53.79648,-1.54785 53.79391,-1.75206 50.15201,-5.06654 50.15201,-5.06654 "
worth,"53.79391,-1.75206 50.15201,-5.06654 "
merchant,"53.79648,-1.54785 53.79391,-1.75206 "
mozarella,"53.79391,-1.75206 54.89228,-2.93206 55.95206,-3.19648 "
updated,"54.89228,-2.93206 50.15201,-5.06654 "
allergy,"52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 54.90465,-1.38222 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 52.48142,-1.89983 52.48142,-1.89983 57.14369,-2.09814 53.00415,-2.18538 53.00415,-2.18538 53.48095,-2.23743 53.48095,-2.23743 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 51.48,-3.18 51.48,-3.18 55.95206,-3.19648 55.07216,-3.60218 55.07216,-3.60218 54.58333,-5.93333 52.20765,0.13200 52.63220,1.28925 "
lemondade,"55.86515,-4.25763 "
risk,"54.89228,-2.93206 "
