word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
burger,38,-2.296231304717472,53.823533190872695,607684.5553612473,341076.18,82,61,752248.4,352780.52,0.22
chips,38,-2.2126389838048226,53.718375500733885,585830.483920963,341519.19,122,98,773868.35,350846.6,0.3
chicken burger,37,-2.346380889412725,53.983576944311764,637276.8446732513,307089.93,65,65,756706.05,350199.72,0.27
steak,37,-2.296845217347433,53.8186307916582,579965.2535459845,280249.0,75,77,753114.19,346018.99,0.2
onion rings,37,-2.46523129714729,54.11738322337224,665844.1781940996,335278.14,66,76,774973.91,355536.05,0.22
sausage,37,-2.2649359899055495,53.876578036166414,591417.8464156432,285101.82,104,83,743681.43,346782.56,0.28
cheese,37,-2.323352195586032,53.932149190458794,627409.5416668867,297051.79,89,76,748846.65,348656.45,0.27
fish,37,-2.2347386640278635,53.73028419562218,565552.1119353088,298057.87,111,93,771017.51,344030.36,0.3
chicken nuggets,37,-2.33851520103813,54.04569065951882,620703.8752191932,318061.44,76,68,767840.22,351839.82,0.26
curry,37,-2.297888579058105,53.766810761458416,598221.8135491929,288579.26,88,87,762438.04,345219.15,0.23
chicken,37,-2.3806446480825683,53.7434488171168,598547.5961870477,287932.58,86,86,764136.26,346056.26,0.19
sauce,36,-2.297542934671779,53.783239436619304,600963.7308377567,341545.7,92,85,759482.61,350188.69,0.23
onion,36,-2.2315537420020832,53.811304360335264,580391.8793289302,278747.24,73,70,732426.45,333767.59,0.24
gravy,36,-2.38651391062383,53.81213920105957,610306.2216609878,277116.73,82,65,751514.57,345422.16,0.25
beans,36,-2.2714977616166507,53.83792300799265,584167.25069478,278498.34,64,58,735066.97,334848.29,0.3
scampi,36,-2.2422124329101294,53.83499132229027,606981.0420133305,340557.74,69,66,751917.76,349420.09,0.22
mushy peas,36,-1.892258684497132,53.24352192022428,635024.4393572637,331386.02,59,59,869148.34,341306.53,0.36
menu,35,-2.13160135302064,53.534004273770876,577019.0291701828,279964.13,81,72,809567.58,328264.19,0.34
burgers,35,-2.2687039709959493,53.72890369694672,564348.7952579022,296373.63,68,54,716661.18,336414.74,0.25
bread,34,-2.250403844183056,54.06647205846196,626706.1750338345,347951.93,70,49,775363.0,362479.36,0.24
fish cake,34,-1.9768208338534572,53.55331741072407,576517.6330367055,274658.62,67,45,811241.46,329390.14,0.29
haddock,34,-1.7993577438261326,53.26047940023382,633979.2834808927,349651.83,65,47,869288.91,357705.94,0.47
salad,34,-2.023931649137976,53.753361452780645,538683.453185013,339952.22,78,48,732964.91,340991.74,0.29
mushroom,34,-2.1262235511813476,53.69487135080015,577636.4563888627,341024.72,63,45,780912.52,341942.62,0.29
drinks,34,-2.3488104978323543,53.76306176540007,600175.5101520625,405481.92,69,70,761545.17,358743.02,0.2
drink,32,-2.4877288057592573,53.825393017400835,580228.4684680412,276563.54,41,43,746121.4,339662.59,0.2
egg,32,-2.3437800303913177,53.79123188262605,604632.4185238038,405299.27,45,51,723708.41,352882.1,0.16
bottle,32,-2.25605192321795,54.010213799242216,518321.5481347987,285607.33,60,47,691908.02,318889.38,0.34
pie,32,-2.534412705940389,54.224259227634576,568721.5631030701,332772.18,51,65,791074.23,337168.05,0.27
choice,31,-2.1932965293448383,53.917897268307584,618803.7007554543,268667.68,44,33,752415.35,336641.14,0.32
chip,31,-2.212836594594742,53.97107532302814,515025.85384666285,275580.04,56,49,760614.23,332565.57,0.34
peas,31,-2.2357016700005006,53.7607459819645,533187.685041946,241795.12,49,38,723648.16,320603.54,0.34
extras,31,-1.978392730467323,53.540766147483204,539705.8512893318,339704.11,46,29,705221.83,319094.98,0.33
meal,31,-2.2609884930318187,53.74546164500035,666946.833970566,389191.33,33,33,767449.35,360792.56,0.23
ham,30,-2.488702401898262,54.41915548627294,548107.740371185,328081.7,45,29,827650.99,358568.13,0.36
beef burger,30,-2.0838258855441976,53.49684134960224,584754.0937155857,313952.86,42,26,817756.65,345923.95,0.19
meal deals,30,-2.699738731099762,53.88664801139565,583666.9906954074,297397.52,33,27,724787.01,342485.13,0.23
mushrooms,30,-2.37541061541619,54.17043235910694,587196.8928706412,330413.95,43,50,788063.66,350129.25,0.22
sauces,30,-2.097623874957432,53.65947766576453,570270.4412781604,331620.42,46,27,713537.92,332157.56,0.25
kids,29,-2.468514342270239,54.00305866542332,489611.321858135,294320.63,37,40,646562.6,318975.04,0.27
order,29,-2.639564297301429,54.290709108556975,566713.3956290454,328990.23,44,45,798882.48,346255.77,0.35
cod,29,-1.7077739431889394,52.77509169250865,579698.068768128,325119.76,75,35,723922.77,314553.0,0.45
beef,29,-1.8653830266745683,53.09901088661279,566605.4425089472,328657.88,47,33,895641.23,325340.45,0.5
cheese burger,29,-2.2728036893491392,53.93275093807119,631705.156930933,272126.75,34,32,751257.17,339499.02,0.33
coleslaw,29,-2.2232427560642467,53.75591552630383,592678.1191755859,422411.43,30,34,766772.09,360758.46,0.14
kebab,29,-2.012605774532101,53.78813004530161,475246.15354909556,261853.28,52,30,768147.79,320576.76,0.24
water,29,-2.3400273367550524,53.75942583090648,568004.7120892287,266851.72,34,33,718452.93,319270.16,0.3
toggle navigation,28,-2.1431277117998606,53.82053213095706,599797.3149432213,340094.35,33,18,738271.88,350507.09,0.29
tomato,28,-2.4107267779070254,54.389300954763414,545809.2201764737,310182.43,36,49,710391.8,327605.62,0.31
pies,28,-1.5178786691639738,52.87353455873297,447521.4141708483,303240.84,60,20,947101.27,312869.7,0.65
pizza,28,-2.6139159619639676,54.7598046585967,590014.0089826761,312576.89,61,34,784622.6,345248.66,0.27
desserts,28,-1.976784697119151,53.5294514801549,580901.3174547247,341588.04,31,26,707341.74,333463.15,0.19
pepsi,28,-2.26110267305054,53.88617473703364,593277.5785206117,267684.04,46,31,742075.97,323525.12,0.32
kebabs,28,-2.1066224704178675,53.97110685721136,496621.67084841646,287750.24,54,34,732103.22,339225.96,0.26
saturday,28,-2.29176299308065,53.565752685651184,534093.7090488417,323124.36,44,39,688064.22,321781.62,0.39
pineapple,28,-2.6081701565286477,54.29063525618072,660904.2475098924,338060.35,42,37,800055.24,354877.39,0.25
kids meals,28,-2.4604828817948032,54.105943085723375,487717.8534235341,284404.24,37,46,663660.16,304482.03,0.3
dip,27,-2.5828999375856756,54.38288762615369,599344.7859078464,343202.89,27,24,817557.98,365487.0,0.35
butter,27,-2.0925296362746786,53.753817215662515,652104.9609997282,302734.87,28,30,729551.87,334721.9,0.29
sunday,27,-2.402930260029882,53.664857365286,549101.6429013959,264440.8,33,38,699394.29,325964.14,0.28
pepperoni,27,-2.437012782214213,54.400324607213335,543804.0482420771,313776.63,34,44,713489.4,320755.87,0.32
sausages,27,-2.356228872075218,53.14891757971587,644749.3624448387,336180.61,23,29,872221.4,382452.76,0.21
pepper,27,-2.1989903364181043,53.91038978596181,599388.0259336128,289184.31,42,33,739782.4,340718.19,0.39
ice cream,27,-2.5158149352076182,54.23068181106183,651336.3251817721,342991.78,20,33,792953.36,360552.55,0.23
opening,27,-2.365070152767008,53.62965967053348,578908.0624673651,381947.91,37,34,785193.96,331043.17,0.23
curry sauce,26,-2.406023713943578,53.871677986800904,621278.8769277354,425888.98,22,18,734688.64,382702.49,0.23
home,26,-2.1343581181281874,53.26610560324806,529272.1410268203,331421.04,19,26,647225.41,321886.92,0.27
chicken kebab,26,-2.087912834800831,53.71732784901214,479472.3359649664,248101.01,42,24,778177.28,308578.74,0.33
meat,26,-2.0345467050115054,53.79625588535142,469798.65742652933,234483.34,47,33,583520.59,272899.84,0.39
cans,26,-1.959299455735503,53.740218941525335,542557.0342400087,279045.04,50,23,778588.41,327359.33,0.53
chicken breast,26,-2.4703032978941164,53.613158114331505,557357.6659039096,290786.83,29,30,613428.39,318957.32,0.24
cheeseburger,26,-2.4715196084231046,53.84305741007328,654701.9415138274,277829.01,23,23,726830.9,334915.49,0.13
batter,26,-2.275244021567734,53.65842887362149,578960.622509682,284393.9,21,33,704441.01,338591.36,0.24
toppings,26,-2.4481359192676364,54.568676703041014,551753.5043192836,329703.93,41,26,743604.12,345514.07,0.3
information,25,-1.9800529066042285,53.57905329700669,571720.3252198831,260877.87,22,22,698052.18,291791.1,0.39
wraps,25,-2.1781916644424513,54.151274595160416,478445.38472691836,251633.0,24,33,793320.93,298170.76,0.37
pieces,25,-2.0883496378046638,53.53112732865534,509920.8768895405,279543.59,37,22,706900.35,305178.08,0.31
items,25,-2.2115299288787966,54.21569197289932,577922.509087906,317903.63,34,22,803055.83,320369.26,0.48
coke,25,-2.5471298709070833,54.24592336741389,574208.5011176186,338873.9,24,24,691804.14,339782.92,0.29
peppers,25,-2.502095985672769,54.49334547777792,516905.5378819861,301472.91,33,30,732687.74,325553.23,0.37
meals,24,-2.3236495711517904,53.47608594785857,594376.8786211686,315567.17,20,14,717627.93,332099.97,0.41
mayo,24,-2.66373570385532,54.163616342661264,498484.4582243934,303355.2,21,32,683518.31,324167.58,0.26
food,24,-2.5357906512236537,53.385526389602596,645864.7488168341,335366.94,21,31,824790.54,341245.07,0.21
delivery,24,-2.2359584799110745,54.25920233181389,522828.8214673291,330039.98,30,18,679946.05,320260.59,0.42
tuesday,24,-2.4750184783909646,53.77141333036019,566894.4929420538,341867.29,40,30,714311.7,336015.69,0.3
pizzas,24,-2.715583881354812,54.694346219218154,562147.6969553715,304904.48,47,25,600025.83,328501.14,0.21
lamb,24,-2.1742729650569617,53.68214067682884,558592.9514262064,281624.6,19,21,781619.57,330649.5,0.23
thursday,24,-2.4617058961799314,53.82254836107248,517402.9203412747,347517.18,40,31,651309.09,330661.19,0.3
plaice,24,-1.3824369204427058,52.49909327208851,452000.09300515044,258097.61,42,22,585101.04,280060.09,0.33
friday,24,-2.323465321474069,53.692087463045574,490106.09477114165,246415.2,38,34,587045.42,300301.75,0.29
onions,24,-2.463566907807969,54.21107051520845,470875.8316908865,302699.26,39,39,681840.43,300720.93,0.32
chicken wings,24,-2.553085383900618,53.79660889208482,569811.0262624593,399239.7,23,23,749524.35,360710.78,0.28
time,23,-2.172160794905997,54.01544824025256,514941.7402193613,286721.73,25,18,770129.06,328659.45,0.28
sides,23,-2.4680477590077667,53.686448801914665,593772.1828179674,259521.17,23,27,771943.65,331725.62,0.22
kidney pie,23,-1.793136123373133,52.478104872501916,369551.5539061368,243952.01,32,15,551203.51,251945.1,0.49
portion,23,-2.829549846541404,54.36724726628008,522452.3410741265,311200.92,27,36,805865.13,324225.02,0.25
cheesy,23,-2.269677486362581,53.7367682069588,591764.3673752506,246965.88,21,25,717946.32,342948.01,0.22
side orders,23,-2.461637632649404,54.00609140543617,646734.2686898255,315210.46,20,30,755606.67,360190.08,0.2
donner kebab,23,-2.1568137429729344,54.20705368439603,509037.663591938,314124.79,29,35,655069.15,305548.8,0.36
