word,coordinations
diet coca cola l bottle,"57.14369,-2.09814"
style pineapple,"52.20765,0.13200"
nelsons fish,"52.05834,1.15472"
meat meat,"53.48095,-2.23743"
pizza chips,"52.48142,-1.89983 53.79648,-1.54785 54.90465,-1.38222"
mozzarella tomato base mushrooms,"55.86515,-4.25763"
chicken bacon onions cups,"54.58333,-5.93333"
roast duck style,"50.71936,-3.53271"
cod chipspeasdrnk,"51.48,-3.18 51.48,-3.18"
base mozzarella pepperoni steak meat,"54.58333,-5.93333"
pudding cake,"53.79648,-1.54785"
mushroom paneer,"53.79648,-1.54785"
chip shop feast,"52.40656,-1.51217"
coconut dream,"51.48,-3.18"
bbq sauce sauce,"57.47908,-4.22398"
greek food restaurants,"50.83333,0.13333"
chicken wrap,"51.45523,-2.59665 52.20765,0.13200 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.38297,-1.4659 53.38297,-1.4659 53.41058,-2.97794 53.48095,-2.23743 53.48095,-2.23743 53.79391,-1.75206 54.57309,-1.23258 54.58333,-5.93333 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.90465,-1.38222 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 55.07216,-3.60218 55.45862,-4.62849 55.86515,-4.25763 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648"
saladchips,"54.97328,-1.61396"
pizza bread,"52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.6386,-1.13169 52.9536,-1.15047 53.00415,-2.18538 53.38297,-1.4659 54.58333,-5.93333 55.07216,-3.60218 55.95206,-3.19648 55.95206,-3.19648"
beef rice,"50.71936,-3.53271 53.41058,-2.97794 53.41058,-2.97794 54.89228,-2.93206"
onion rings pieces,"52.48142,-1.89983"
prescot road,"53.41058,-2.97794"
mushroom soup,"50.71936,-3.53271 53.41058,-2.97794"
chocolate cake,"52.48142,-1.89983 53.48095,-2.23743 53.79648,-1.54785 54.97328,-1.61396 54.97328,-1.61396 55.95206,-3.19648 57.14369,-2.09814"
beef chilli,"53.41058,-2.97794 53.41058,-2.97794 54.89228,-2.93206 54.89228,-2.93206 55.86515,-4.25763"
burger sausage egg cheese slice,"53.00415,-2.18538"
bacon batch,"52.40656,-1.51217"
inch chicken kiev,"54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 55.07216,-3.60218"
harport,"55.95206,-3.19648"
crispy cod,"50.15201,-5.06654"
butty mini,"53.38297,-1.4659"
inch salami garden,"54.89228,-2.93206"
pepperoni ham spicy beef,"52.63220,1.28925"
angel burger,"54.66411,-2.75257"
onion dinner,"53.41058,-2.97794"
porellis ice cream,"55.86515,-4.25763"
panko king chips dip,"50.15201,-5.06654"
fritter,"51.45523,-2.59665 51.48,-3.18 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.7446,-0.33525 54.97328,-1.61396 55.45862,-4.62849 55.45862,-4.62849 55.45862,-4.62849 55.45862,-4.62849 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 56.46913,-2.97489 56.46913,-2.97489 56.46913,-2.97489"
marnier coffee,"51.48,-3.18"
delivery charge,"56.46913,-2.97489"
bacon,"50.83333,0.13333 51.45523,-2.59665 52.20765,0.13200 52.40656,-1.51217 52.48142,-1.89983 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.41058,-2.97794 53.79648,-1.54785 53.79648,-1.54785 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.97328,-1.61396 55.07216,-3.60218 55.07216,-3.60218 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 57.14369,-2.09814"
curry recipe,"54.58333,-5.93333"
onions chicken pakora,"55.45862,-4.62849"
mazaedar,"56.46913,-2.97489"
market street parking,"50.15201,-5.06654"
cooking,"52.20765,0.13200 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 54.57309,-1.23258 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 54.97328,-1.61396 54.97328,-1.61396 55.07216,-3.60218 55.07216,-3.60218 56.46913,-2.97489 56.46913,-2.97489 57.14369,-2.09814"
fingers,"54.58333,-5.93333"
bread fries,"52.9536,-1.15047"
chips sausage,"54.58333,-5.93333"
mogo,"52.6386,-1.13169"
beef pepperoni onion,"52.63220,1.28925 55.95206,-3.19648"
suey dishes,"50.71936,-3.53271 52.20765,0.13200 53.41058,-2.97794 53.41058,-2.97794"
jarrow,"54.77560,-1.58374"
herb,"51.45523,-2.59665 53.7446,-0.33525 54.77560,-1.58374 55.07216,-3.60218"
tomato cheese chicken,"54.97328,-1.61396 54.97328,-1.61396"
pasanda lamb,"55.45862,-4.62849"
dill potatoes,"51.45523,-2.59665"
bbq base ham bacon peppers,"55.95206,-3.19648"
cookie explosion,"52.48142,-1.89983"
pudding quarter pizza,"55.45862,-4.62849"
thaymar ice cream tubs,"52.9536,-1.15047 52.9536,-1.15047"
beef onion tomatoes,"51.45523,-2.59665"
korma mango,"55.45862,-4.62849"
beef pastie,"51.62125,-3.94490"
yazoo ml chocolate,"55.95206,-3.19648"
kids,"50.83333,0.13333 51.45523,-2.59665 51.45523,-2.59665 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.62125,-3.94490 51.62125,-3.94490 52.05834,1.15472 52.20765,0.13200 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 52.48142,-1.89983 52.48142,-1.89983 52.63220,1.28925 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 53.00415,-2.18538 53.00415,-2.18538 53.38297,-1.4659 53.38297,-1.4659 53.38297,-1.4659 53.48095,-2.23743 53.48095,-2.23743 53.7446,-0.33525 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 54.32822,-2.74565 54.57309,-1.23258 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.89228,-2.93206 54.89228,-2.93206 54.90465,-1.38222 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 54.97328,-1.61396 55.45862,-4.62849 55.45862,-4.62849 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 56.46913,-2.97489 57.14369,-2.09814"
inch meaty,"52.9536,-1.15047"
kids box sausage,"54.32822,-2.74565"
glutenfree,"50.15201,-5.06654"
chicken grana padano,"55.95206,-3.19648"
crunchy cassava chips,"52.6386,-1.13169"
driving distance,"54.58333,-5.93333"
caprisosa,"54.97328,-1.61396"
tagliatelle salmone,"55.07216,-3.60218"
wine jacobs,"55.95206,-3.19648"
pizza curry,"55.95206,-3.19648"
jaipuri sauce,"56.46913,-2.97489"
chow mein,"50.71936,-3.53271 52.20765,0.13200 53.41058,-2.97794 53.41058,-2.97794 54.89228,-2.93206"
pizza special,"52.40656,-1.51217"
pasanda chicken,"55.45862,-4.62849"
xlarge,"50.71936,-3.53271 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 52.48142,-1.89983 53.00415,-2.18538"
village bulkington,"52.40656,-1.51217"
donner kebab butty,"54.77560,-1.58374"
jack cheese bacon,"55.95206,-3.19648"
chipotle sauce,"54.58333,-5.93333"
service fee,"54.90465,-1.38222 55.45862,-4.62849 56.46913,-2.97489"
salad chips,"52.9536,-1.15047 53.00415,-2.18538 53.41058,-2.97794 54.90465,-1.38222 55.86515,-4.25763"
clarks pie,"51.45523,-2.59665 51.45523,-2.59665 51.48,-3.18 51.48,-3.18 51.48,-3.18"
party orders,"52.05834,1.15472 53.79391,-1.75206"
unit,"52.63220,1.28925 54.58333,-5.93333"
lincolnshire farms,"53.79648,-1.54785"
bechaemel sauce,"54.97328,-1.61396"
vanilla ice cream cone,"55.86515,-4.25763"
curry beans peas,"54.58333,-5.93333"
jerk style curry,"52.6386,-1.13169"
inch tikka masala pizza,"56.46913,-2.97489"
xxx sauce,"52.6386,-1.13169"
picante supper,"54.58333,-5.93333"
chicken sandwich,"52.48142,-1.89983 52.9536,-1.15047"
mustard mustard powder,"54.89228,-2.93206"
pizza strips,"55.95206,-3.19648"
trousers,"54.58333,-5.93333"
wibsey shop,"53.79391,-1.75206"
glass,"51.51279,-0.09184 52.6386,-1.13169 53.79648,-1.54785"
ketchup dip,"52.05834,1.15472 52.9536,-1.15047 54.57309,-1.23258 54.58333,-5.93333 55.95206,-3.19648"
pizza toscano,"55.86515,-4.25763"
fish chips sausage fish tubs,"53.00415,-2.18538"
swan church,"53.00415,-2.18538"
cod bite pccipscan,"51.48,-3.18 51.48,-3.18"
fish salad,"53.79391,-1.75206"
sausage chip roll,"55.95206,-3.19648"
cream penne,"55.95206,-3.19648 55.95206,-3.19648"
order takeaway,"51.48,-3.18 51.48,-3.18"
ml limonata,"55.95206,-3.19648"
donner wrap meal,"51.45523,-2.59665 52.48142,-1.89983 52.6386,-1.13169 52.6386,-1.13169 53.48095,-2.23743"
kebab lamb lamb,"52.48142,-1.89983"
