id,word,coordinations
1,saturday,"51.51279,-0.09184"
1,orders pm,"51.51279,-0.09184"
1,sunday,"51.51279,-0.09184"
1,home,"51.51279,-0.09184"
1,menu,"51.51279,-0.09184"
1,fish,"51.51279,-0.09184"
1,history,"51.51279,-0.09184"
1,awards,"51.51279,-0.09184"
1,gallery,"51.51279,-0.09184"
1,menu,"51.51279,-0.09184"
1,takeaway menu,"51.51279,-0.09184"
1,kids menu,"51.51279,-0.09184"
1,dessert menu,"51.51279,-0.09184"
1,courses,"51.51279,-0.09184"
1,cod,"51.51279,-0.09184"
1,haddock,"51.51279,-0.09184"
1,rock eel,"51.51279,-0.09184"
1,plaice,"51.51279,-0.09184"
1,fishcake,"51.51279,-0.09184"
1,cod roe,"51.51279,-0.09184"
1,pies,"51.51279,-0.09184"
1,sausage,"51.51279,-0.09184"
1,sausage,"51.51279,-0.09184"
1,chicken breast,"51.51279,-0.09184"
1,veg pastie,"51.51279,-0.09184"
1,fish,"51.51279,-0.09184"
1,egg matzo,"51.51279,-0.09184"
1,side orders,"51.51279,-0.09184"
1,chips,"51.51279,-0.09184"
1,chip,"51.51279,-0.09184"
1,mushy peas,"51.51279,-0.09184"
1,onion,"51.51279,-0.09184"
1,egg,"51.51279,-0.09184"
1,tomato,"51.51279,-0.09184"
1,onion salad,"51.51279,-0.09184"
1,salad,"51.51279,-0.09184"
1,salad,"51.51279,-0.09184"
1,coleslaw,"51.51279,-0.09184"
1,specials,"51.51279,-0.09184"
1,scampi,"51.51279,-0.09184"
1,fish soup,"51.51279,-0.09184"
1,veg soup,"51.51279,-0.09184"
1,fish,"51.51279,-0.09184"
1,oil,"51.51279,-0.09184"
1,caution,"51.51279,-0.09184"
1,fish,"51.51279,-0.09184"
1,bones,"51.51279,-0.09184"
1,food,"51.51279,-0.09184"
1,allergens,"51.51279,-0.09184"
1,member,"51.51279,-0.09184"
1,staff,"51.51279,-0.09184"
1,information,"51.51279,-0.09184"
1,meal,"51.51279,-0.09184"
1,muswell hill broadway,"51.51279,-0.09184"
2,toggle navigation,"51.51279,-0.09184"
