id,word,coordination
206,aa,"54.77560,-1.58374"
193,abbey,"56.46913,-2.97489"
119,abbots road stoke,"53.00415,-2.18538"
119,abbots,"53.00415,-2.18538"
119,abbots,"53.00415,-2.18538"
119,abbots,"53.00415,-2.18538"
150,ability,"53.7446,-0.33525"
87,absolut,"55.95206,-3.19648"
6,abundance,"51.51279,-0.09184"
135,abv,"52.9536,-1.15047"
135,abv,"52.9536,-1.15047"
145,abv,"52.9536,-1.15047"
145,abv,"52.9536,-1.15047"
46,abv,"53.79648,-1.54785"
46,abv,"53.79648,-1.54785"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
87,abv,"55.95206,-3.19648"
5,access lift,"51.51279,-0.09184"
171,access,"54.97328,-1.61396"
173,access,"54.97328,-1.61396"
157,accompaniment,"54.58333,-5.93333"
240,accompaniments,"52.63220,1.28925"
219,accompaniments,"55.45862,-4.62849"
219,accompaniments,"55.45862,-4.62849"
98,accompaniments,"55.95206,-3.19648"
190,accompaniments,"56.46913,-2.97489"
156,account,"54.58333,-5.93333"
177,account,"54.90465,-1.38222"
126,accreditations,"53.79391,-1.75206"
106,achaar,"52.6386,-1.13169"
127,achar,"53.79391,-1.75206"
49,achar,"53.79648,-1.54785"
49,achar,"53.79648,-1.54785"
49,achar,"53.79648,-1.54785"
49,achar,"53.79648,-1.54785"
195,achari sauce,"56.46913,-2.97489"
219,achari vegetables,"55.45862,-4.62849"
195,achari,"56.46913,-2.97489"
195,achari,"56.46913,-2.97489"
6,acidity,"51.51279,-0.09184"
46,acidity,"53.79648,-1.54785"
180,action,"54.90465,-1.38222"
200,actity bag,"55.07216,-3.60218"
116,ad,"53.00415,-2.18538"
116,ad,"53.00415,-2.18538"
239,addition,"52.63220,1.28925"
239,addition,"52.63220,1.28925"
240,addition,"52.63220,1.28925"
27,addition,"55.86515,-4.25763"
63,additions,"53.41058,-2.97794"
124,additives,"53.79391,-1.75206"
240,address unit dragonfly lane cringleford,"52.63220,1.28925"
232,address,"50.15201,-5.06654"
183,address,"50.83333,0.13333"
183,address,"50.83333,0.13333"
5,address,"51.51279,-0.09184"
132,address,"52.40656,-1.51217"
71,address,"53.48095,-2.23743"
148,address,"53.7446,-0.33525"
156,address,"54.58333,-5.93333"
212,address,"54.66411,-2.75257"
92,address,"55.95206,-3.19648"
162,adult meals,"54.58333,-5.93333"
46,adult,"53.79648,-1.54785"
157,adults,"54.58333,-5.93333"
121,advance contact,"53.79391,-1.75206"
233,advance,"50.15201,-5.06654"
12,advance,"51.51279,-0.09184"
12,advance,"51.51279,-0.09184"
52,advance,"53.79648,-1.54785"
231,advantage,"50.37771,-4.14082"
131,adventure,"52.40656,-1.51217"
43,advertisements,"53.79648,-1.54785"
43,advertisements,"53.79648,-1.54785"
5,advice,"51.51279,-0.09184"
94,aero mint,"55.95206,-3.19648"
6,age,"51.51279,-0.09184"
27,age,"55.86515,-4.25763"
85,age,"55.95206,-3.19648"
221,ainch,"54.89228,-2.93206"
10,album cover,"51.51279,-0.09184"
10,album,"51.51279,-0.09184"
6,alcohol menu,"51.51279,-0.09184"
233,alcohol,"50.15201,-5.06654"
6,alcohol,"51.51279,-0.09184"
6,alcohol,"51.51279,-0.09184"
138,alcohol,"52.9536,-1.15047"
46,alcohol,"53.79648,-1.54785"
222,alcohol,"54.89228,-2.93206"
85,alcohol,"55.95206,-3.19648"
85,alcohol,"55.95206,-3.19648"
85,alcohol,"55.95206,-3.19648"
98,alcohol,"55.95206,-3.19648"
98,alcohols,"55.95206,-3.19648"
33,alderman road glasgow,"55.86515,-4.25763"
33,alderman road,"55.86515,-4.25763"
2,ale beef,"51.51279,-0.09184"
230,ale,"50.37771,-4.14082"
55,ale,"51.45523,-2.59665"
99,ale,"51.48,-3.18"
17,ale,"52.48142,-1.89983"
23,ale,"52.48142,-1.89983"
135,ale,"52.9536,-1.15047"
135,ale,"52.9536,-1.15047"
143,ale,"52.9536,-1.15047"
145,ale,"52.9536,-1.15047"
145,ale,"52.9536,-1.15047"
147,ale,"52.9536,-1.15047"
80,ale,"53.38297,-1.4659"
135,ales,"52.9536,-1.15047"
145,ales,"52.9536,-1.15047"
87,ales,"55.95206,-3.19648"
39,alla cream,"55.86515,-4.25763"
89,alla crema penne,"55.95206,-3.19648"
89,alla crema spaghetti,"55.95206,-3.19648"
89,alla crema,"55.95206,-3.19648"
198,alla romana,"55.07216,-3.60218"
89,alla vincenzo penne,"55.95206,-3.19648"
89,alla vincenzo spaghetti,"55.95206,-3.19648"
89,alla vincenzo,"55.95206,-3.19648"
180,allergen information,"54.90465,-1.38222"
192,allergen information,"56.46913,-2.97489"
101,allergen statements,"51.48,-3.18"
75,allergen statements,"53.48095,-2.23743"
76,allergen statements,"53.48095,-2.23743"
169,allergen statements,"54.97328,-1.61396"
227,allergens,"51.48,-3.18"
227,allergens,"51.48,-3.18"
227,allergens,"51.48,-3.18"
227,allergens,"51.48,-3.18"
1,allergens,"51.51279,-0.09184"
114,allergens,"53.00415,-2.18538"
121,allergens,"53.79391,-1.75206"
224,allergens,"54.89228,-2.93206"
192,allergens,"56.46913,-2.97489"
87,allergies,"55.95206,-3.19648"
192,allergies,"56.46913,-2.97489"
224,allergy advice,"54.89228,-2.93206"
169,allergy advice,"54.97328,-1.61396"
104,allergy info,"51.48,-3.18"
163,allergy info,"54.58333,-5.93333"
97,allergy info,"55.95206,-3.19648"
180,allergy information,"54.90465,-1.38222"
101,allergy policies,"51.48,-3.18"
