word,regional
mushroom pie,Y
pop,Y
mince,Y
fish chips,Y
cookies,Y
funghi,Y
chicken meat,Y
king rib,Y
pollo,Y
dandelion,Y
cheeseburger half pounder,Y
burdock,Y
beef onion pie,Y
cheeseburger quarter pounder,Y
potato pie,Y
pounder chicken burger,Y
roast chicken,Y
rolls,Y
chip roll,Y
cheese tomato,Y
chicken breast supper,Y
steak pie,Y
chip shop takeaway order,Y
suey roll,Y
chicken ham pepperoni,Y
sachet,Y
sea bass,Y
ham omelette,Y
diet coke ltr,Y
pineapple ring,Y
pizza crunch,Y
delivery areas,Y
butter chicken,Y
inch doner pizza,Y
chicken tikka pizza,Y
garlic sauce,Y
tango ltr bottle,Y
food hygiene rating,Y
mayo dip,Y
baps,Y
specials board,Y
rissole,Y
monkfish,Y
notice,Y
vegetable burger supper,Y
match,Y
allergy policies,Y
cheese chicken burger,Y
pepperoni sausage,Y
paneer,Y
bacon roll,Y
capricosa,Y
inch capricosa,Y
egg burger,Y
smartphone,Y
gammon steak,Y
duck curry,Y
kebab deal,Y
cheese potato,Y
kids nuggets,Y
whelks,Y
ton soup,Y
lamb cubes,Y
description,Y
oysters,Y
ton,Y
cheese wrap,Y
chip cone,Y
po dishes,Y
eye,Y
gravy chips,Y
sausage meal deal,Y
chicken doner meat,Y
meat salad,Y
cuisines,Y
quarter pounder doner burger,Y
