word,regional
cheeseburger half pounder,"[0.4544025501222677, 0.5455974498777323]"
cheeseburger quarter pounder,"[0.4544025501222677, 0.5455974498777323]"
kidney pie,"[0.4760660293831762, 0.5239339706168238]"
pop,"[0.4760660293831762, 0.5239339706168238]"
mince,"[0.4760660293831762, 0.5239339706168238]"
cod roe,"[0.4760660293831762, 0.5239339706168238]"
pasties,"[0.4760660293831762, 0.5239339706168238]"
pasty,"[0.4760660293831762, 0.5239339706168238]"
haggis,"[0.4760660293831762, 0.5239339706168238]"
pakora,"[0.4760660293831762, 0.5239339706168238]"
supper,"[0.4760660293831762, 0.5239339706168238]"
vegetable pakora,"[0.4760660293831762, 0.5239339706168238]"
funghi,"[0.4760660293831762, 0.5239339706168238]"
chicken meat,"[0.4760660293831762, 0.5239339706168238]"
bru,"[0.4760660293831762, 0.5239339706168238]"
inferno,"[0.4760660293831762, 0.5239339706168238]"
naan,"[0.4760660293831762, 0.5239339706168238]"
hamburger,"[0.4760660293831762, 0.5239339706168238]"
pie supper,"[0.4760660293831762, 0.5239339706168238]"
cheese tomato,"[0.4760660293831762, 0.5239339706168238]"
pizza supper,"[0.4760660293831762, 0.5239339706168238]"
pudding supper,"[0.4760660293831762, 0.5239339706168238]"
macaroni cheese,"[0.4760660293831762, 0.5239339706168238]"
chicken breast supper,"[0.4760660293831762, 0.5239339706168238]"
chicken burger,"[0.5000000049998334, 0.49999999500016656]"
steak,"[0.5000000049998334, 0.49999999500016656]"
onion rings,"[0.5000000049998334, 0.49999999500016656]"
sausage,"[0.5000000049998334, 0.49999999500016656]"
cheese,"[0.5000000049998334, 0.49999999500016656]"
fish,"[0.5000000049998334, 0.49999999500016656]"
chicken nuggets,"[0.5000000049998334, 0.49999999500016656]"
curry,"[0.5000000049998334, 0.49999999500016656]"
chicken,"[0.5000000049998334, 0.49999999500016656]"
sauce,"[0.5000000049998334, 0.49999999500016656]"
onion,"[0.5000000049998334, 0.49999999500016656]"
gravy,"[0.5000000049998334, 0.49999999500016656]"
beans,"[0.5000000049998334, 0.49999999500016656]"
scampi,"[0.5000000049998334, 0.49999999500016656]"
mushy peas,"[0.5000000049998334, 0.49999999500016656]"
menu,"[0.5000000049998334, 0.49999999500016656]"
burgers,"[0.5000000049998334, 0.49999999500016656]"
bread,"[0.5000000049998334, 0.49999999500016656]"
fish cake,"[0.5000000049998334, 0.49999999500016656]"
haddock,"[0.5000000049998334, 0.49999999500016656]"
salad,"[0.5000000049998334, 0.49999999500016656]"
mushroom,"[0.5000000049998334, 0.49999999500016656]"
drinks,"[0.5000000049998334, 0.49999999500016656]"
drink,"[0.5000000049998334, 0.49999999500016656]"
egg,"[0.5000000049998334, 0.49999999500016656]"
bottle,"[0.5000000049998334, 0.49999999500016656]"
pie,"[0.5000000049998334, 0.49999999500016656]"
choice,"[0.5000000049998334, 0.49999999500016656]"
chip,"[0.5000000049998334, 0.49999999500016656]"
peas,"[0.5000000049998334, 0.49999999500016656]"
extras,"[0.5000000049998334, 0.49999999500016656]"
meal,"[0.5000000049998334, 0.49999999500016656]"
ham,"[0.5000000049998334, 0.49999999500016656]"
beef burger,"[0.5000000049998334, 0.49999999500016656]"
meal deals,"[0.5000000049998334, 0.49999999500016656]"
mushrooms,"[0.5000000049998334, 0.49999999500016656]"
sauces,"[0.5000000049998334, 0.49999999500016656]"
kids,"[0.5000000049998334, 0.49999999500016656]"
order,"[0.5000000049998334, 0.49999999500016656]"
cod,"[0.5000000049998334, 0.49999999500016656]"
beef,"[0.5000000049998334, 0.49999999500016656]"
cheese burger,"[0.5000000049998334, 0.49999999500016656]"
coleslaw,"[0.5000000049998334, 0.49999999500016656]"
kebab,"[0.5000000049998334, 0.49999999500016656]"
water,"[0.5000000049998334, 0.49999999500016656]"
toggle navigation,"[0.5000000049998334, 0.49999999500016656]"
tomato,"[0.5000000049998334, 0.49999999500016656]"
pies,"[0.5000000049998334, 0.49999999500016656]"
desserts,"[0.5000000049998334, 0.49999999500016656]"
pepsi,"[0.5000000049998334, 0.49999999500016656]"
kebabs,"[0.5000000049998334, 0.49999999500016656]"
saturday,"[0.5000000049998334, 0.49999999500016656]"
pineapple,"[0.5000000049998334, 0.49999999500016656]"
kids meals,"[0.5000000049998334, 0.49999999500016656]"
dip,"[0.5000000049998334, 0.49999999500016656]"
butter,"[0.5000000049998334, 0.49999999500016656]"
sunday,"[0.5000000049998334, 0.49999999500016656]"
pepperoni,"[0.5000000049998334, 0.49999999500016656]"
sausages,"[0.5000000049998334, 0.49999999500016656]"
pepper,"[0.5000000049998334, 0.49999999500016656]"
ice cream,"[0.5000000049998334, 0.49999999500016656]"
opening,"[0.5000000049998334, 0.49999999500016656]"
curry sauce,"[0.5000000049998334, 0.49999999500016656]"
home,"[0.5000000049998334, 0.49999999500016656]"
chicken kebab,"[0.5000000049998334, 0.49999999500016656]"
meat,"[0.5000000049998334, 0.49999999500016656]"
cans,"[0.5000000049998334, 0.49999999500016656]"
chicken breast,"[0.5000000049998334, 0.49999999500016656]"
cheeseburger,"[0.5000000049998334, 0.49999999500016656]"
batter,"[0.5000000049998334, 0.49999999500016656]"
toppings,"[0.5000000049998334, 0.49999999500016656]"
information,"[0.5000000049998334, 0.49999999500016656]"
wraps,"[0.5000000049998334, 0.49999999500016656]"
pieces,"[0.5000000049998334, 0.49999999500016656]"
items,"[0.5000000049998334, 0.49999999500016656]"
coke,"[0.5000000049998334, 0.49999999500016656]"
peppers,"[0.5000000049998334, 0.49999999500016656]"
meals,"[0.5000000049998334, 0.49999999500016656]"
mayo,"[0.5000000049998334, 0.49999999500016656]"
food,"[0.5000000049998334, 0.49999999500016656]"
delivery,"[0.5000000049998334, 0.49999999500016656]"
tuesday,"[0.5000000049998334, 0.49999999500016656]"
pizzas,"[0.5000000049998334, 0.49999999500016656]"
lamb,"[0.5000000049998334, 0.49999999500016656]"
thursday,"[0.5000000049998334, 0.49999999500016656]"
plaice,"[0.5000000049998334, 0.49999999500016656]"
friday,"[0.5000000049998334, 0.49999999500016656]"
onions,"[0.5000000049998334, 0.49999999500016656]"
time,"[0.5000000049998334, 0.49999999500016656]"
sides,"[0.5000000049998334, 0.49999999500016656]"
portion,"[0.5000000049998334, 0.49999999500016656]"
cheesy,"[0.5000000049998334, 0.49999999500016656]"
side orders,"[0.5000000049998334, 0.49999999500016656]"
donner kebab,"[0.5000000049998334, 0.49999999500016656]"
diet coke,"[0.5000000049998334, 0.49999999500016656]"
chicken wrap,"[0.5000000049998334, 0.49999999500016656]"
rice,"[0.5000000049998334, 0.49999999500016656]"
wrap,"[0.5000000049998334, 0.49999999500016656]"
cocacola,"[0.5000000049998334, 0.49999999500016656]"
mayonnaise,"[0.5000000049998334, 0.49999999500016656]"
collection,"[0.5000000049998334, 0.49999999500016656]"
chocolate,"[0.5000000049998334, 0.49999999500016656]"
offers,"[0.5000000049998334, 0.49999999500016656]"
donner meat,"[0.5000000049998334, 0.49999999500016656]"
seafood,"[0.5000000049998334, 0.49999999500016656]"
kids meal,"[0.5000000049998334, 0.49999999500016656]"
mushroom pie,"[0.5000000049998334, 0.49999999500016656]"
donner,"[0.5000000049998334, 0.49999999500016656]"
can,"[0.5000000049998334, 0.49999999500016656]"
bun,"[0.5000000049998334, 0.49999999500016656]"
chicken fillet burger,"[0.5000000049998334, 0.49999999500016656]"
bbq sauce,"[0.5000000049998334, 0.49999999500016656]"
chip shop,"[0.5000000049998334, 0.49999999500016656]"
potato,"[0.5000000049998334, 0.49999999500016656]"
box,"[0.5000000049998334, 0.49999999500016656]"
deals,"[0.5000000049998334, 0.49999999500016656]"
delivery times,"[0.5000000049998334, 0.49999999500016656]"
kids chicken nuggets,"[0.5000000049998334, 0.49999999500016656]"
pitta,"[0.5000000049998334, 0.49999999500016656]"
option,"[0.5000000049998334, 0.49999999500016656]"
takeaway,"[0.5000000049998334, 0.49999999500016656]"
chilli,"[0.5000000049998334, 0.49999999500016656]"
way,"[0.5000000049998334, 0.49999999500016656]"
dips,"[0.5000000049998334, 0.49999999500016656]"
kidney,"[0.5000000049998334, 0.49999999500016656]"
