word,regional
cheese pattie,"[0.005752789048045601, 0.9942472109519543]"
hamburger supper,"[0.010523980863231813, 0.9894760191367681]"
potato pie,"[0.011832771987785918, 0.988167228012214]"
pizza crunch,"[0.012144751849541769, 0.9878552481504583]"
pineapple ring,"[0.015053517744736865, 0.9849464822552632]"
inferno,"[0.015214041030230902, 0.9847859589697693]"
suey roll,"[0.01728593196577637, 0.9827140680342238]"
macaroni cheese,"[0.017886245081325264, 0.9821137549186748]"
pattie,"[0.019164199663996507, 0.9808358003360035]"
naan,"[0.021340649178906237, 0.9786593508210938]"
burdock,"[0.023078141858510287, 0.9769218581414897]"
dandelion,"[0.02416472403033299, 0.975835275969667]"
bit,"[0.029890091829282456, 0.9701099081707175]"
funghi,"[0.035611248306307595, 0.9643887516936924]"
diet bru,"[0.03647307298910381, 0.963526927010896]"
chip shop takeaway order,"[0.03721088867821962, 0.9627891113217805]"
diet coke ltr,"[0.037250474527262906, 0.962749525472737]"
pudding supper,"[0.039030818856489576, 0.9609691811435102]"
pizza supper,"[0.040057086604740534, 0.9599429133952594]"
chicken meat,"[0.041365994750654146, 0.9586340052493456]"
shot,"[0.044119413989849775, 0.9558805860101502]"
pollo,"[0.046199614084160026, 0.9538003859158402]"
cheeseburger half pounder,"[0.05821456755305322, 0.9417854324469467]"
cheeseburger quarter pounder,"[0.05821456755305322, 0.9417854324469467]"
chip roll,"[0.06219338250968384, 0.937806617490316]"
cookies,"[0.07329782595424732, 0.9267021740457525]"
hamburger,"[0.07586274431701846, 0.9241372556829814]"
pasty,"[0.07746269936074338, 0.9225373006392567]"
king rib,"[0.08699038354974375, 0.9130096164502561]"
beef onion pie,"[0.08804834505930996, 0.91195165494069]"
fish chips,"[0.091454558392312, 0.908545441607688]"
cheese tomato,"[0.11190125469436864, 0.8880987453056314]"
haggis,"[0.1198177975114344, 0.8801822024885656]"
cod fish,"[0.12746086158350656, 0.8725391384164933]"
chicken nuggets meal,"[0.13890948369611794, 0.8610905163038819]"
chicken breast supper,"[0.14698575634179625, 0.8530142436582038]"
chips salad,"[0.14829987484188806, 0.8517001251581119]"
inch bread,"[0.15027043127294193, 0.8497295687270584]"
pie supper,"[0.15581755617028292, 0.8441824438297173]"
nuggets,"[0.16196931601234166, 0.8380306839876583]"
bull,"[0.17601123338233488, 0.8239887666176651]"
rubicon mango,"[0.1768233763644235, 0.8231766236355765]"
scallops,"[0.18350364959299575, 0.8164963504070043]"
sausage supper,"[0.1879970711717405, 0.8120029288282595]"
pasties,"[0.19175125057356865, 0.8082487494264314]"
site,"[0.19904909087206274, 0.8009509091279371]"
chicken pakora,"[0.21728539306344694, 0.7827146069365531]"
inch margherita,"[0.21985392137068843, 0.7801460786293116]"
pie chips,"[0.22412688109696294, 0.775873118903037]"
tray,"[0.22741159751230922, 0.7725884024876908]"
fish bites,"[0.2327734237022174, 0.7672265762977826]"
pop,"[0.23649096040636905, 0.7635090395936309]"
spam fritter,"[0.24978135780724922, 0.7502186421927507]"
supper,"[0.2648914198732837, 0.7351085801267161]"
vinegar,"[0.2687682528663485, 0.7312317471336518]"
inch meat feast,"[0.2719479877144424, 0.7280520122855577]"
grill,"[0.27255858305584485, 0.7274414169441551]"
kebab wrap,"[0.27412340597289914, 0.725876594027101]"
portions,"[0.29569115369758675, 0.7043088463024131]"
pounder cheese burger,"[0.31616936729558276, 0.6838306327044169]"
sausage chips,"[0.31677590656409227, 0.6832240934359078]"
kids fingers,"[0.32836255984508284, 0.671637440154917]"
cod roe,"[0.3347952278237537, 0.6652047721762463]"
spring roll,"[0.3390051640625564, 0.6609948359374436]"
inch pepperoni,"[0.33987193359388634, 0.6601280664061138]"
quarter pounder chicken burger,"[0.35444034779552164, 0.6455596522044784]"
cherry coke,"[0.36592727062317887, 0.6340727293768211]"
chicken strips,"[0.38438672429555054, 0.6156132757044493]"
facebook,"[0.3853728613339417, 0.6146271386660582]"
everything,"[0.3864391983498132, 0.6135608016501867]"
slice,"[0.39602278607807573, 0.6039772139219244]"
piece,"[0.4009339558049936, 0.5990660441950065]"
ribs,"[0.40335060209908935, 0.5966493979009108]"
sundries,"[0.4052283187568167, 0.5947716812431834]"
kidney,"[0.4116997766360978, 0.5883002233639021]"
kidney pie,"[0.41424667728837866, 0.5857533227116215]"
mushroom pie,"[0.4217800747176899, 0.5782199252823103]"
half,"[0.42236927701280347, 0.5776307229871964]"
chicken tikka wrap,"[0.42278854737338695, 0.5772114526266131]"
bread roll,"[0.42636689033841835, 0.5736331096615815]"
pounder,"[0.4280180704406686, 0.5719819295593312]"
masala,"[0.4295734026411127, 0.5704265973588872]"
chicken steak,"[0.43497634791690043, 0.5650236520830997]"
donner meat,"[0.44072324021841225, 0.5592767597815876]"
comments,"[0.44297089983076743, 0.5570291001692327]"
service times,"[0.4449307688881724, 0.5550692311118276]"
pizza bread,"[0.447245622500154, 0.5527543774998461]"
pot,"[0.4532033739770758, 0.5467966260229241]"
promotions,"[0.4619577408804933, 0.5380422591195068]"
award,"[0.46239044212341873, 0.5376095578765813]"
quarter pounder cheese burger,"[0.46528188664307074, 0.5347181133569293]"
collection mins,"[0.4806108458725506, 0.5193891541274495]"
cheesecake,"[0.48337674938568104, 0.5166232506143191]"
onion pie,"[0.4844471400386966, 0.5155528599613034]"
gift,"[0.4855506271672011, 0.5144493728327989]"
touchsuccess allergy policies,"[0.48611685077040245, 0.5138831492295974]"
order type selection,"[0.48611685077040245, 0.5138831492295974]"
condition,"[0.4886270672964924, 0.5113729327035076]"
cooking,"[0.48867048473892816, 0.5113295152610717]"
sms,"[0.48867048473892816, 0.5113295152610717]"
notifications,"[0.48867048473892816, 0.5113295152610717]"
notifications emails,"[0.48867048473892816, 0.5113295152610717]"
what information protection services,"[0.48867048473892816, 0.5113295152610717]"
forms,"[0.48867048473892816, 0.5113295152610717]"
