word,regional
ribena,"[0.3881345899456332, 0.6118654100543668]"
fish finger,"[0.3932615914507741, 0.6067384085492259]"
tuna mayonnaise,"[0.4000533009352535, 0.5999466990647465]"
street,"[0.40071602737711565, 0.5992839726228844]"
bar,"[0.40222446494511277, 0.5977755350548872]"
rolls,"[0.4040165293509027, 0.5959834706490973]"
fishcakes,"[0.4059493218750909, 0.5940506781249091]"
wine,"[0.40806066323499934, 0.5919393367650007]"
relish,"[0.41029395174690475, 0.5897060482530952]"
copyright,"[0.4103067545812199, 0.5896932454187801]"
categories,"[0.41219890450941044, 0.5878010954905896]"
family,"[0.4128901618528079, 0.5871098381471921]"
fritters,"[0.4148478006643602, 0.5851521993356398]"
banana,"[0.41541352492314176, 0.5845864750768582]"
fruit shoot,"[0.41566268547247753, 0.5843373145275225]"
strips,"[0.4157091806333564, 0.5842908193666436]"
cheddar cheese,"[0.4165741400516966, 0.5834258599483034]"
pitta bread,"[0.4178601183162801, 0.5821398816837199]"
price,"[0.4179047602420195, 0.5820952397579805]"
mars bar,"[0.41801700049452395, 0.581982999505476]"
page,"[0.4188618282007256, 0.5811381717992744]"
milk,"[0.4192711479572757, 0.5807288520427243]"
orange,"[0.4196776202175396, 0.5803223797824604]"
customers,"[0.4197935149768346, 0.5802064850231654]"
tel,"[0.41997785618153016, 0.5800221438184698]"
dog,"[0.4205019678964703, 0.5794980321035297]"
soup,"[0.42089570073024196, 0.579104299269758]"
vegetables,"[0.4210970870943028, 0.5789029129056972]"
seafood pizza,"[0.4212839418773039, 0.5787160581226961]"
quarter pounder cheeseburger,"[0.42146231097160913, 0.5785376890283909]"
chicken leg,"[0.4218667515366804, 0.5781332484633196]"
fish cakes,"[0.4219470712862323, 0.5780529287137677]"
eggs,"[0.42205252910152047, 0.5779474708984795]"
spices,"[0.42207045500493057, 0.5779295449950694]"
fish supper,"[0.42269631546321496, 0.577303684536785]"
chillies,"[0.4227995947138806, 0.5772004052861194]"
family deal,"[0.4230210873552922, 0.5769789126447078]"
ginger,"[0.42320494398495523, 0.5767950560150448]"
milkshakes,"[0.4233116566877585, 0.5766883433122415]"
peppers onions,"[0.42340189971043807, 0.5765981002895619]"
diet,"[0.42368610840191934, 0.5763138915980807]"
slices,"[0.424137639512129, 0.575862360487871]"
house,"[0.42470890322099175, 0.5752910967790082]"
chicken fillet,"[0.42477473898264284, 0.5752252610173572]"
breast,"[0.424892600693788, 0.575107399306212]"
service,"[0.4250742614288703, 0.5749257385711297]"
coca cola,"[0.42524269437950846, 0.5747573056204915]"
tomatoes,"[0.4256853574146805, 0.5743146425853195]"
omelette,"[0.4258295368626769, 0.5741704631373231]"
cookie dough,"[0.4265788346134456, 0.5734211653865544]"
jerrys,"[0.4265952615982077, 0.5734047384017923]"
burger chips,"[0.4270248777829748, 0.5729751222170252]"
seasons,"[0.42705602638860896, 0.572943973611391]"
staff,"[0.42727739392806074, 0.5727226060719393]"
flavour,"[0.42794021688907535, 0.5720597831109246]"
lucozade,"[0.4281116701180926, 0.5718883298819074]"
takeaway menu,"[0.4281527841173628, 0.5718472158826372]"
lettuce,"[0.4286530454173575, 0.5713469545826425]"
pork,"[0.42865587162931207, 0.5713441283706879]"
salmon,"[0.42866657631815763, 0.5713334236818424]"
cheese salad,"[0.42886545955742117, 0.5711345404425788]"
cod bites,"[0.4289823502189819, 0.5710176497810181]"
crispy,"[0.429122004990524, 0.570877995009476]"
pasta dishes,"[0.4291836386637907, 0.5708163613362093]"
vimto l,"[0.42925724754671335, 0.5707427524532867]"
potato fritters,"[0.42934487849715086, 0.5706551215028491]"
ingredients,"[0.4293534649940439, 0.5706465350059561]"
doner,"[0.42946505906830656, 0.5705349409316934]"
farmhouse,"[0.4300859084065781, 0.5699140915934219]"
gravy sauce,"[0.4301654927019697, 0.5698345072980303]"
pounder beef burger,"[0.4304043964272174, 0.5695956035727826]"
mineral water,"[0.43051313079585674, 0.5694868692041433]"
pizza deal,"[0.4307902785733059, 0.5692097214266941]"
chicken salad,"[0.431581360334766, 0.568418639665234]"
cream,"[0.43162950070752304, 0.568370499292477]"
lemonade,"[0.43201020522207356, 0.5679897947779264]"
donner calzone,"[0.4324939031941778, 0.5675060968058222]"
coke bottle,"[0.4326733464276007, 0.5673266535723993]"
cappuccino,"[0.43279643022832637, 0.5672035697716736]"
person,"[0.4331624566681376, 0.5668375433318624]"
restaurant,"[0.43333814244599533, 0.5666618575540047]"
potato fritter,"[0.4334754558361613, 0.5665245441638387]"
prawns,"[0.43364270586791265, 0.5663572941320874]"
inch chicken,"[0.43412524695606636, 0.5658747530439336]"
quarter pounder beef burger,"[0.43436096906089505, 0.565639030939105]"
lemon,"[0.43446599173618516, 0.5655340082638148]"
