word,regional
cheese pattie,"[0.014090574799614064, 0.9859094252003859]"
hamburger supper,"[0.01925981220768369, 0.9807401877923163]"
pizza crunch,"[0.021967137357094102, 0.9780328626429059]"
potato pie,"[0.022304358908955768, 0.9776956410910442]"
naan,"[0.03025257945422699, 0.969747420545773]"
macaroni cheese,"[0.03153452875397167, 0.9684654712460283]"
inferno,"[0.03446750554455724, 0.9655324944554428]"
pineapple ring,"[0.03474440846232929, 0.9652555915376707]"
pattie,"[0.040580070337384755, 0.9594199296626152]"
pizza supper,"[0.04167886627246342, 0.9583211337275366]"
pudding supper,"[0.04173074033233015, 0.9582692596676698]"
dandelion,"[0.04400662843454306, 0.9559933715654569]"
diet bru,"[0.045560133804330216, 0.9544398661956698]"
chip shop takeaway order,"[0.051268843679904474, 0.9487311563200955]"
diet coke ltr,"[0.05451801586879479, 0.9454819841312052]"
hamburger,"[0.057790660721300346, 0.9422093392786997]"
chip roll,"[0.061167538448650194, 0.9388324615513498]"
bit,"[0.0630672984264431, 0.9369327015735569]"
chicken meat,"[0.06611179691198965, 0.9338882030880103]"
pollo,"[0.06947610289571615, 0.9305238971042838]"
suey roll,"[0.07372133305041795, 0.926278666949582]"
king rib,"[0.08124372442041394, 0.9187562755795861]"
shot,"[0.08464699967678713, 0.9153530003232129]"
burdock,"[0.08612826286259334, 0.9138717371374067]"
pie supper,"[0.09248785449334196, 0.907512145506658]"
beef onion pie,"[0.13185146037105877, 0.8681485396289412]"
haggis,"[0.1462650274097399, 0.8537349725902601]"
cheese tomato,"[0.14701203789682382, 0.8529879621031762]"
funghi,"[0.14707383705693178, 0.8529261629430682]"
chicken breast supper,"[0.17061489145152486, 0.8293851085484751]"
fish chips,"[0.1763292940220048, 0.8236707059779952]"
pasty,"[0.17661764613251463, 0.8233823538674854]"
cheeseburger half pounder,"[0.17812164294913324, 0.8218783570508668]"
cheeseburger quarter pounder,"[0.17812164294913324, 0.8218783570508668]"
supper,"[0.18704096952344096, 0.812959030476559]"
cookies,"[0.20539064489837966, 0.7946093551016203]"
chicken pakora,"[0.230457831831135, 0.769542168168865]"
bull,"[0.2499246300029725, 0.7500753699970275]"
bru,"[0.2892809444416763, 0.7107190555583237]"
chicken nuggets meal,"[0.2916817523918679, 0.7083182476081321]"
nuggets,"[0.29669809843078365, 0.7033019015692163]"
vegetable pakora,"[0.31469183377116217, 0.6853081662288378]"
spaghetti,"[0.3245547388023228, 0.6754452611976772]"
chips salad,"[0.3310500368731014, 0.6689499631268986]"
scallops,"[0.3394671069939369, 0.6605328930060631]"
pasties,"[0.34871759885013764, 0.6512824011498624]"
sausage supper,"[0.3555929618815934, 0.6444070381184066]"
site,"[0.37328773882488653, 0.6267122611751135]"
pop,"[0.38323078535163335, 0.6167692146483666]"
pakora,"[0.3844642489939888, 0.6155357510060112]"
pasta,"[0.3872466827146729, 0.6127533172853271]"
inch margherita,"[0.3874072630664408, 0.6125927369335592]"
kebab wrap,"[0.4089538614646445, 0.5910461385353555]"
piece,"[0.43619858758855146, 0.5638014124114485]"
tray,"[0.4424241908218334, 0.5575758091781666]"
inch bread,"[0.44557945455158, 0.55442054544842]"
mince,"[0.45100473288760556, 0.5489952671123944]"
pie chips,"[0.4548818990519168, 0.5451181009480832]"
spring roll,"[0.4553146418760813, 0.5446853581239187]"
facebook,"[0.45610228059927505, 0.543897719400725]"
spam fritter,"[0.4593610804210293, 0.5406389195789707]"
cod fish,"[0.47671578719940155, 0.5232842128005984]"
fish bites,"[0.4807195590519824, 0.5192804409480176]"
cod roe,"[0.4905298758807405, 0.5094701241192595]"
kidney,"[0.49499713907661813, 0.5050028609233819]"
rubicon mango,"[0.5251831462565341, 0.47481685374346594]"
sundries,"[0.5494363419496049, 0.45056365805039506]"
inch meat feast,"[0.5562021527243601, 0.4437978472756398]"
ribs,"[0.5657154590395864, 0.4342845409604136]"
kids fingers,"[0.5793206775725992, 0.42067932242740075]"
jacket potatoes,"[0.6043995405793061, 0.39560045942069394]"
everything,"[0.6066161145797373, 0.39338388542026276]"
shop,"[0.6131933909882463, 0.3868066090117537]"
onion pie,"[0.6189312938959703, 0.38106870610402965]"
vinegar,"[0.6201005485978044, 0.3798994514021956]"
pounder cheese burger,"[0.6226180728091404, 0.37738192719085956]"
bottles,"[0.6398320402420152, 0.3601679597579847]"
nuts,"[0.6410583119502866, 0.3589416880497134]"
jacket potato,"[0.6413332839302048, 0.3586667160697952]"
kidney pie,"[0.6438853085116241, 0.356114691488376]"
side,"[0.6445945350346771, 0.3554054649653229]"
kids cake,"[0.6495926673448821, 0.3504073326551179]"
pies,"[0.6552213283072703, 0.3447786716927297]"
portions,"[0.6592955912897319, 0.3407044087102681]"
salt,"[0.6648893445161489, 0.3351106554838511]"
pudding,"[0.6670674541777677, 0.3329325458222323]"
mushroom pie,"[0.6796444974105065, 0.3203555025894936]"
donner calzone,"[0.6889696507714385, 0.31103034922856154]"
calzone,"[0.6892369881198064, 0.3107630118801936]"
slice,"[0.6946772448477481, 0.3053227551522519]"
pitta,"[0.7047123832955039, 0.2952876167044961]"
quarter pounder chicken burger,"[0.7064755781618837, 0.2935244218381163]"
sausage chips,"[0.7076118464526813, 0.2923881535473188]"
chicken tikka wrap,"[0.7119850929069201, 0.28801490709307986]"
jalapenos,"[0.716415793674511, 0.2835842063254889]"
email,"[0.7167288656076615, 0.28327113439233853]"
collection mins,"[0.71763284999224, 0.28236715000775997]"
inch chicken,"[0.7190938272935922, 0.28090617270640783]"
bbq chicken,"[0.7196481250171542, 0.2803518749828458]"
wings,"[0.7207027815367852, 0.2792972184632147]"
grill,"[0.7209111244875954, 0.2790888755124046]"
family meal,"[0.7236419008413326, 0.2763580991586674]"
specials,"[0.7254798878132154, 0.2745201121867847]"
award,"[0.7309664272470673, 0.26903357275293266]"
collection,"[0.7343927682672184, 0.26560723173278156]"
diet pepsi,"[0.7522589877364072, 0.24774101226359285]"
quarter pounder cheese burger,"[0.7584076838954734, 0.24159231610452656]"
half pounder,"[0.7584160488916261, 0.2415839511083739]"
allergy,"[0.7623833420502317, 0.23761665794976827]"
comments,"[0.7626201226415495, 0.23737987735845043]"
inch pepperoni,"[0.7627606920661548, 0.23723930793384515]"
postcode,"[0.7670386897023092, 0.2329613102976909]"
fries,"[0.7680729129788328, 0.23192708702116718]"
touchsuccess allergy policies,"[0.7717796345090663, 0.22822036549093375]"
order type selection,"[0.7717796345090663, 0.22822036549093375]"
way,"[0.7739316351535129, 0.2260683648464871]"
taste,"[0.7762459787961004, 0.22375402120389964]"
masala,"[0.7779255601740646, 0.22207443982593542]"
rolls,"[0.7785850279006767, 0.22141497209932323]"
place,"[0.7787363324410866, 0.22126366755891336]"
orders,"[0.7828071156166345, 0.21719288438336545]"
privacy policy,"[0.7847116890915746, 0.21528831090842532]"
cheesecake,"[0.7866394829059203, 0.21336051709407963]"
king,"[0.7874684588439368, 0.21253154115606324]"
promotions,"[0.787824672245486, 0.21217532775451395]"
