word,regional
kidney pie,Y
rice,Y
pop,Y
mince,Y
cod roe,Y
pasties,Y
pasty,Y
haggis,Y
cookies,Y
pakora,Y
supper,Y
vegetable pakora,Y
funghi,Y
chicken meat,Y
bru,Y
shot,Y
king rib,Y
pasta,Y
pollo,Y
dandelion,Y
spaghetti,Y
cheeseburger half pounder,Y
burdock,Y
bit,Y
cheeseburger quarter pounder,Y
potato pie,Y
cheese pattie,Y
ale,Y
inferno,Y
naan,Y
hamburger,Y
chip roll,Y
pie supper,Y
cheese tomato,Y
pizza supper,Y
pudding supper,Y
macaroni cheese,Y
pattie,Y
chicken breast supper,Y
chip shop takeaway order,Y
suey roll,Y
diet bru,Y
roe,Y
diet coke ltr,Y
chicken leg supper,Y
pineapple ring,Y
pizza crunch,Y
hamburger supper,Y
