word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio,regional
kopparberg,2,-3.064400800734211,55.422104542518575,105564.76761723861,104864.4,1,1,105564.77,104864.4,1,N
cabernet,2,-1.3398383726229726,53.21749082495849,110698.3469542343,109980.65,1,1,110698.35,109980.65,1,N
scone,3,-3.6855165659408207,55.629775704856385,109451.98817486204,83785.65,1,2,109451.99,90678.96,1,N
massala,3,-1.935920787719066,54.90361213276496,110787.24790922644,46309.19,2,2,110787.25,65117.48,1,N
char,2,-2.612489033043681,53.31910037414471,176120.11875931913,110093.54,4,1,176120.12,110093.54,1,N
involved,2,-4.506088851639727,50.887196681967055,144579.47741057767,143731.65,1,1,144579.48,143731.65,1,N
nearest,2,-1.35103145534223,53.23365142980851,113864.50841755865,85156.67,2,1,113864.51,85156.67,1,N
clare,2,-2.6829269668535627,52.242384958947405,150105.75815179385,149044.54,1,1,150105.76,149044.54,1,N
tahini,2,-2.9552466053833,54.151445312477016,141961.64804213212,140705.3,1,1,141961.65,140705.3,1,N
barm,2,-2.5665454672522334,53.44968467232947,46323.47402860576,41691.23,5,4,46323.47,41691.23,1,N
batch,2,-1.8053529439982607,52.607197993432706,197597.68739786083,123325.84,4,1,197597.69,123325.84,1,N
newcastle,2,-1.6064067919019325,54.92385949109076,28745.526716013213,19175.42,3,1,28745.53,19175.42,1,N
birmingham,2,-1.7900985513449343,52.50388109721336,77249.21569044371,45060.93,6,1,77249.22,45060.93,1,N
birmingham,2,-1.7900985513449343,52.50388109721336,77249.21569044371,45060.93,6,1,77249.22,45060.93,1,N
cumberland,4,-2.841465094937855,54.73619665865725,78905.71946438195,55332.56,7,2,241031.54,92182.41,0.89,N
edinburgh,2,-2.994973957159661,55.80485803191098,255004.8843525278,145897.27,7,1,255004.88,145897.27,0.88,N
serving,9,-1.9319571024815534,53.36547584631343,374001.2200976116,116611.56,6,5,674616.42,224198.39,0.64,N
telephone,9,-1.568950086585931,53.64914087427648,424134.65039389295,138347.7,5,6,740915.63,223496.37,0.64,N
under,10,-1.6898529409077603,53.61541354428591,424267.16026027204,171966.85,9,5,506298.12,204522.17,0.64,N
well,13,-1.7774081076950814,53.6134777353851,514078.39019147074,225008.91,11,7,570230.68,260568.14,0.61,N
built,6,-1.5461653694430566,52.6274564686047,275797.82931530115,217050.18,4,3,453136.85,229552.38,0.57,N
cone,19,-2.3384747609360286,53.328811537526285,531721.3648894831,303858.4,30,17,840287.29,326684.22,0.55,N
bed,6,-1.4303186374984498,53.315499882244495,360821.773366238,237258.94,3,3,633836.1,272349.31,0.5,N
displayed,3,-3.2019006266037113,53.80579421132206,733263.1009781011,691876.51,2,2,733263.1,528789.99,0.5,N
knickerbocker,3,-2.642579365719546,53.00443124926299,577375.3245150159,567778.38,2,2,577375.32,437111.32,0.5,N
glory,3,-2.642579365719546,53.00443124926299,577375.3245150159,567778.38,2,2,577375.32,437111.32,0.5,N
bun,26,-1.970403635233503,54.08837660790231,602125.9145912708,273825.56,26,28,638756.06,314715.04,0.44,N
cod,32,-1.8666168199321194,52.96640608831408,545044.8278347197,335560.82,89,45,685995.89,325843.04,0.42,N
profile,16,-1.7809104809198644,53.785899839152435,538697.9332543523,234816.09,16,13,660037.04,252188.81,0.38,N
cake,36,-2.0576615133374627,53.70725560309869,566751.0297116399,280181.49,91,64,781010.48,339217.93,0.34,N
jalepeno,3,-1.687479307604499,53.75046219147145,236312.01629152946,233525.86,1,2,236312.02,162538.34,0.33,N
punch,10,-2.3613596951281264,54.436843983223675,390517.2100499474,309453.17,5,7,536416.08,279531.73,0.33,N
supreme,18,-2.125708340080903,53.96020089015549,498237.390835579,272716.63,22,15,626227.82,308121.37,0.32,N
pay,6,-2.4207263213057444,53.5142361578688,477517.4406504831,278297.12,6,4,477517.44,267657.34,0.3,N
chip,38,-2.23044218407667,53.722497649744405,587407.2960585437,341639.83,122,99,772556.48,351005.86,0.29,N
absolutely,6,-3.4441856049446646,51.34808302134307,386947.84134993015,271955.31,3,4,667493.01,297330.02,0.29,N
ham,31,-2.5388929947260435,54.37221815307425,550150.2547041783,347582.01,56,43,817310.88,363073.2,0.28,N
lamb,25,-2.0526891321919365,53.48730581725936,587105.4291577953,338427.74,33,24,820474.03,331538.89,0.28,N
fanta,31,-2.5897107170922573,54.34193538626593,556432.6115823701,320525.84,40,62,670883.89,334651.6,0.26,N
sausage,38,-2.3552454848565527,53.846308871972866,592374.4756945394,341382.21,109,89,746282.03,353703.24,0.24,N
gherkin,21,-1.9021607143084174,53.18807587258461,576153.8347651672,365451.66,17,32,648387.97,352647.19,0.24,N
white,25,-2.761144693376155,55.089813355849614,659922.0759717433,366035.78,40,19,941239.53,371303.96,0.15,N
glass,7,-2.7742590848554833,54.92379091809264,700542.7858985052,254721.79,9,4,909898.05,432938.13,0.08,N
dhansak,2,-2.2619845646853336,55.1321476882356,276149.01804420154,271882.46,1,1,276149.02,271882.46,0,N
great,16,-2.238686013386592,53.50616506461821,506409.6259113405,209323.41,17,14,680823.35,265674.06,0.52,N
process,16,-1.8164829525466863,53.877350293773816,521024.11915373954,244649.89,18,11,642626.79,274448.8,0.38,N
harm,16,-1.848471901566233,53.78448849418025,537154.1166353885,235036.29,18,13,659943.6,265101.39,0.42,N
meal,38,-2.373626638842431,53.76275333633064,601398.0640586048,342648.57,94,76,760850.13,352781.22,0.24,N
noodle,4,-2.452335882366919,53.45676208368059,368024.9208912806,322968.48,5,2,509933.61,303736.82,0.57,N
duck,4,-2.452335882366919,53.45676208368059,368024.9208912806,322968.48,5,2,509933.61,303736.82,0.57,N
chow,4,-2.452335882366919,53.45676208368059,368024.9208912806,322968.48,5,2,509933.61,303736.82,0.57,N
mailing,4,-4.793994051330552,54.38824475469465,522417.6945001847,446746.8,7,2,745160.16,442682.76,0,N
spirit,2,-3.1941801543551676,54.83445742000377,622464.7120742484,420646.97,3,1,622464.71,420646.97,0,N
