word,regional
hamburger,"[0.27518815883964054, 0.7248118411603595]"
rump,"[0.29527831457748477, 0.7047216854225152]"
cob,"[0.2977341795415793, 0.7022658204584207]"
carbonara,"[0.3019618738229689, 0.6980381261770311]"
yorkshire,"[0.31070428516008153, 0.6892957148399185]"
haagen,"[0.31070428516008153, 0.6892957148399185]"
instantly,"[0.3127942768830314, 0.6872057231169686]"
naan,"[0.3253809430526645, 0.6746190569473355]"
dazs,"[0.3336191488527629, 0.6663808511472371]"
rib,"[0.35008689580727004, 0.64991310419273]"
suey,"[0.3536508634262119, 0.6463491365737881]"
inferno,"[0.3607444550688824, 0.6392555449311176]"
scallop,"[0.3675104078076613, 0.6324895921923387]"
balti,"[0.369659095446059, 0.630340904553941]"
crunch,"[0.37700591256483185, 0.6229940874351682]"
securely,"[0.37917683460134133, 0.6208231653986587]"
macaroni,"[0.37981010769493173, 0.6201898923050683]"
shot,"[0.380443790303286, 0.619556209696714]"
quattro,"[0.38504629044553984, 0.6149537095544602]"
keema,"[0.38504629044553984, 0.6149537095544602]"
pakora,"[0.38659679766675625, 0.6134032023332437]"
spaghetti,"[0.38659679766675625, 0.6134032023332437]"
rock,"[0.38723473342735193, 0.6127652665726481]"
meaty,"[0.3954763196041714, 0.6045236803958286]"
parmesan,"[0.40066686023815656, 0.5993331397618434]"
haggis,"[0.4015926708516465, 0.5984073291483535]"
skate,"[0.4015926708516465, 0.5984073291483535]"
splash,"[0.407177446787387, 0.592822553212613]"
bru,"[0.407335901975577, 0.592664098024423]"
irn,"[0.407335901975577, 0.592664098024423]"
cornish,"[0.414003313518011, 0.585996686481989]"
burdock,"[0.425990710373368, 0.574009289626632]"
dandelion,"[0.425990710373368, 0.574009289626632]"
passion,"[0.4262755133396918, 0.5737244866603082]"
stagioni,"[0.4262755133396918, 0.5737244866603082]"
smokey,"[0.4310467161720981, 0.5689532838279019]"
bull,"[0.4321168370536844, 0.5678831629463156]"
guava,"[0.43702866884927116, 0.5629713311507288]"
pattie,"[0.4406267682710011, 0.5593732317289989]"
give,"[0.4466373029798988, 0.5533626970201012]"
kiev,"[0.45120536975813474, 0.5487946302418653]"
chosen,"[0.4537444662923733, 0.5462555337076267]"
pukka,"[0.45615988893423687, 0.5438401110657631]"
value,"[0.45682712532342884, 0.5431728746765712]"
facebook,"[0.4716521072822266, 0.5283478927177734]"
smoked,"[0.48409417370055885, 0.5159058262994412]"
samosa,"[0.4870351320656271, 0.5129648679343729]"
bit,"[0.4909771542570499, 0.5090228457429501]"
cucumber,"[0.4911041698899524, 0.5088958301100476]"
lucozade,"[0.49382989642049147, 0.5061701035795085]"
piece,"[0.5023527467749878, 0.4976472532250123]"
under,"[0.5023527467749878, 0.4976472532250123]"
savoury,"[0.503152105662616, 0.496847894337384]"
roe,"[0.5034432505564255, 0.4965567494435746]"
masala,"[0.5084399487903412, 0.49156005120965884]"
including,"[0.5108742301095363, 0.48912576989046375]"
supper,"[0.5130540595381772, 0.4869459404618229]"
love,"[0.5133079957924076, 0.48669200420759234]"
serving,"[0.5133079957924076, 0.48669200420759234]"
pasti,"[0.5173751464197145, 0.4826248535802855]"
enjoy,"[0.5187180476081432, 0.48128195239185684]"
spam,"[0.5211493668102053, 0.4788506331897947]"
cooki,"[0.5223646579995631, 0.4776353420004369]"
sundri,"[0.5229088107360986, 0.4770911892639014]"
telephone,"[0.5254650603391449, 0.47453493966085514]"
pollo,"[0.5258821716731947, 0.4741178283268052]"
well,"[0.5258821716731947, 0.4741178283268052]"
per,"[0.5277666539680488, 0.47223334603195116]"
munchie,"[0.5277666539680488, 0.47223334603195116]"
saveloy,"[0.5288536982559734, 0.4711463017440266]"
then,"[0.5337049878555304, 0.4662950121444696]"
site,"[0.5337049878555304, 0.4662950121444696]"
see,"[0.5492972133764868, 0.4507027866235132]"
farm,"[0.5492972133764868, 0.4507027866235132]"
pop,"[0.5522469371381447, 0.4477530628618553]"
tandoori,"[0.55398990677806, 0.44601009322193996]"
long,"[0.5570590963572452, 0.44294090364275485]"
contain,"[0.5589235949482246, 0.44107640505177537]"
cone,"[0.561735453883691, 0.4382645461163091]"
toast,"[0.561735453883691, 0.4382645461163091]"
pasty,"[0.5665256808741403, 0.4334743191258597]"
only,"[0.5694510289105859, 0.4305489710894142]"
ltd,"[0.5706447279996953, 0.4293552720003047]"
tasty,"[0.5706447279996953, 0.4293552720003047]"
flake,"[0.5706447279996953, 0.4293552720003047]"
pancake,"[0.571179030810399, 0.42882096918960094]"
welcome,"[0.5724959266687121, 0.4275040733312879]"
kidney,"[0.575287009287484, 0.42471299071251595]"
tray,"[0.5777892148992463, 0.42221078510075366]"
kofte,"[0.5795084628293843, 0.4204915371706157]"
