word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
meal,38,-2.373626638842431,53.76275333633064,601398.0640586048,342648.57,94,76,760850.13,352781.22,0.24
curry,38,-2.2286909129493315,53.75188109756633,592266.0621716626,341276.36,108,87,767322.84,351296.39,0.29
drink,38,-2.2328405829100535,53.75768553673906,593449.119540887,341247.94,96,82,766144.42,351391.76,0.23
fish,38,-2.188303067777618,53.690562392446445,579947.5322626682,341625.11,120,97,779652.76,350468.76,0.29
with,38,-2.285653543343629,53.77950076704193,599741.3362085703,341477.41,109,89,760531.26,352073.25,0.26
large,38,-2.31211632810984,53.81460752304744,599055.7863303985,341312.93,101,80,753359.73,352790.54,0.24
burger,38,-2.384070429459068,53.85562520786211,617473.7316806456,341054.92,99,82,743707.39,354168.01,0.21
nugget,38,-2.25683872439362,53.82172296701592,605443.5527208234,340781.64,95,74,753834.59,352435.61,0.22
sausage,38,-2.3552454848565527,53.846308871972866,592374.4756945394,341382.21,109,89,746282.03,353703.24,0.24
chip,38,-2.23044218407667,53.722497649744405,587407.2960585437,341639.83,122,99,772556.48,351005.86,0.29
pie,38,-2.178819310501936,53.76710146656909,592405.6768197414,340719.59,98,79,766210.31,351177.07,0.29
order,37,-2.4701405777765126,54.040360370753596,652964.418534915,321641.52,74,79,761242.62,355874.27,0.26
ring,37,-2.348563667157682,53.9632258956648,633915.9617045838,303498.69,72,82,753083.43,349705.54,0.23
gravy,37,-2.3892570997302016,53.817214756192584,611295.5096251221,278952.89,91,69,750511.73,352156.38,0.25
steak,37,-2.3233179143616307,53.83608029915371,582472.9227909717,279836.87,80,83,749127.47,346649.8,0.2
and,37,-2.2097830238374283,53.56471724920446,614302.439418896,326464.44,86,71,801591.35,347043.31,0.3
mushroom,37,-2.2700513368966804,53.795476493026015,601657.7654237435,285521.92,85,76,758143.47,345326.42,0.27
kid,37,-2.3120645381804095,53.89067175055397,512960.11721019883,289212.89,67,62,739616.38,343581.23,0.28
pea,37,-2.050467191948297,53.57126851453573,571691.1523839368,334177.82,103,76,805550.15,341767.14,0.3
extra,37,-2.1640835011662256,53.80109611320888,580452.2218576137,389752.87,71,53,760594.97,356298.27,0.24
cheese,37,-2.277515701806447,53.85051006953499,611326.8200812174,280827.54,94,82,747976.6,346385.34,0.21
chicken,37,-2.3410270464238576,53.78816540325529,603979.144165494,282702.56,106,99,757242.04,346087.96,0.22
onion,37,-2.192887205895854,53.7750074258931,594425.1190781349,293315.26,100,91,764326.34,344250.39,0.28
salad,37,-2.0944464838283743,53.745558815504374,538642.0843659294,303910.82,82,60,772902.87,343155.53,0.26
our,37,-2.3500647533842365,53.799682846425945,575117.4156838757,280321.57,98,78,754880.68,346388.61,0.24
special,37,-2.2738459775380035,53.90034024315665,619610.8762244062,289678.59,86,66,745641.77,351143.76,0.3
scampi,37,-2.2075327138145453,53.80399683825652,600047.2970699779,287836.79,84,86,758632.24,344846.51,0.21
bean,36,-2.2718659854378904,53.767218002362306,596988.2668005979,277850.31,76,67,723007.13,333299.57,0.3
hot,36,-2.3917092659981978,53.88734880111268,640808.9975105193,341428.29,76,58,738035.36,351841.09,0.23
bread,36,-2.248737799221558,53.97969991686677,519050.159800252,292163.58,83,64,760442.95,345693.16,0.29
menu,36,-2.192657651957139,53.59342714972931,564959.689479377,296640.65,95,79,796967.51,332767.05,0.28
beef,36,-2.209982629536453,53.697251548217494,582147.6822795521,278523.05,86,70,777753.2,335249.33,0.27
the,36,-2.2638211470244047,53.73277949137088,590801.3682035141,277658.1,90,72,769646.16,340336.26,0.31
battered,36,-2.171514377132442,53.7049387352454,581541.4875047903,278465.05,83,65,777615.22,340660.61,0.3
can,36,-2.1843531915980057,53.644125739120746,571958.4946213088,342194.26,92,62,788122.91,346489.17,0.34
sauce,36,-2.306453025346087,53.78013099401233,600887.9801212152,341670.93,99,88,759765.22,350245.73,0.2
served,36,-2.3426313579165168,53.971200099717066,606843.014079872,343814.78,70,56,754728.79,351820.11,0.25
haddock,36,-1.927185261304665,53.3974849501894,606149.7223114871,339365.04,73,59,840648.33,347096.95,0.45
from,36,-2.1888248759818225,53.64846974695664,572910.0084334458,342182.56,66,54,787199.46,350894.43,0.3
mushy,36,-1.9370034870225779,53.272803280428064,575833.160707125,325523.53,62,58,862474.81,340706.74,0.38
cake,36,-2.0576615133374627,53.70725560309869,566751.0297116399,280181.49,91,64,781010.48,339217.93,0.34
for,35,-2.1802085415350954,53.509262704515464,580738.5684472024,337164.68,72,62,812472.61,341876.03,0.33
