word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio
onion rings,37,-2.41966510141953,54.0681225257923,655231.1276564156,324821.0,69,78,768243.82,353439.95,0.22
chips,37,-2.2636707417612554,53.757215307980665,569644.0692957375,292061.6,97,86,765245.55,344686.23,0.28
chicken burger,37,-2.409913041831547,53.99278107351634,641927.3286088324,310945.21,65,67,755511.9,351236.45,0.26
chicken nuggets,37,-2.2585749930203978,53.83995703890616,608616.5640875979,279074.56,86,73,750491.31,345983.17,0.25
mushy peas,36,-1.966617899422856,53.29975697379705,623220.5778713448,320310.85,61,57,856714.96,340242.35,0.38
fish,36,-2.2855414397713085,53.86756955318165,589224.5214238599,278617.97,72,61,744639.6,338555.39,0.29
fish cake,36,-2.0157862961066013,53.65406818022287,565451.143471709,289978.71,75,50,791946.3,338422.45,0.32
chicken,36,-2.342418524958987,53.672607770434944,584799.9125543609,281292.49,63,63,778097.15,341922.59,0.26
gravy,35,-2.567779431856005,53.85576457583893,530514.8911481794,276891.97,47,48,724860.03,337801.91,0.24
served with,35,-2.345634484989971,53.953530978775106,603511.142205403,385180.08,63,53,751536.66,358893.12,0.22
curry sauce,34,-2.2448620711515597,53.77382966461769,596764.0027858466,341174.31,75,74,725424.13,343956.32,0.23
with chips,32,-2.3587445962679694,53.963486332868875,515992.3217464881,292836.36,59,47,752674.95,337986.35,0.19
with a,32,-1.9306361080881644,53.52210026580238,659957.4069023696,308423.2,42,32,818385.97,337530.04,0.38
burgers,32,-2.1997767453281587,53.550013321230374,572873.9464046251,371812.79,59,49,703456.41,338736.51,0.24
veggie burger,31,-2.304822191033102,53.3784906097914,656301.8055371653,352205.48,40,29,832279.83,351847.25,0.33
with cheese,31,-2.3076421869842902,54.26764199704452,568377.3780257517,342090.97,46,40,737016.41,352489.63,0.29
menu,31,-2.1209586181278572,53.45275524012273,521209.41155629413,294613.66,55,50,824459.51,314022.39,0.35
scampi,31,-2.0208996005897446,53.42502054483005,599177.2386159708,296516.49,43,38,726775.39,309535.62,0.4
choice of,31,-2.244424120716618,53.957052477456664,627026.3521244678,276740.23,31,24,756742.97,331461.14,0.35
chicken breast,31,-2.674641015359982,53.84800946074038,576929.1567687874,378238.51,49,50,736871.19,366857.71,0.18
in a,31,-2.006095130625852,53.89166892854817,639243.8533459763,280807.84,46,28,757062.03,322736.91,0.34
drinks,31,-2.429111595494309,53.842261735283934,581008.5071923832,414350.09,61,59,744771.73,357874.06,0.2
with salad,31,-2.028800064550687,53.84770687209719,521168.26235994603,273201.84,45,30,671144.1,326802.8,0.35
and chips,31,-1.8463940636012928,53.46023297548164,611755.0911834412,318679.54,51,32,832308.92,343890.82,0.45
cheese burger,30,-2.417342975297145,54.07290885039948,655937.0068275152,302312.71,39,32,769180.54,343672.37,0.25
bottle of,30,-2.2064193643612895,53.925051486112125,503157.26288465393,345791.22,58,32,736894.14,338497.42,0.3
can of,30,-2.2305639360265666,53.86134073554595,514569.763484754,268007.23,39,28,747553.7,317566.54,0.37
jumbo sausage,30,-2.24191559663612,54.183936955907676,648638.3200009562,377610.79,52,30,796175.88,379037.7,0.38
fish and,30,-1.8636840787881654,53.3164059182929,586656.3433172411,318733.48,44,28,857188.0,333656.68,0.4
beef burger,30,-2.2548806222024327,53.70474273182595,585653.055052197,277534.51,49,34,774980.56,346940.12,0.2
cheese,30,-2.5531280254952318,54.17621647178112,561725.7010578612,325684.81,48,62,781800.14,328517.91,0.26
meal deals,30,-2.7326399914682584,53.90948544155371,587357.2785987935,302955.77,35,30,727491.19,343119.62,0.23
contact us,30,-2.4853862964948017,53.951639191664064,521089.7480550265,264341.21,35,50,723209.43,317153.7,0.25
fried chicken,29,-2.02053321721851,53.2957285759815,622908.5534035858,321630.18,39,24,855695.76,342975.21,0.46
pickled egg,29,-2.175151847100054,53.637895342821274,628497.1499001038,401951.4,33,40,705983.63,351786.84,0.18
kids meals,29,-2.4867793159308755,54.09112462070287,486398.20895029744,306482.5,37,46,662411.4,313437.51,0.3
extras,29,-1.9594438141261015,53.499072804229094,533012.4421486063,332632.85,44,28,713060.65,319433.1,0.32
diet coke,29,-2.5159518655009303,54.38697984948119,595219.290806708,346650.1,33,28,714727.75,350602.04,0.26
bread with,29,-2.3532441218670805,54.51023590424101,536440.1147265793,312709.96,33,34,729218.06,329120.17,0.31
and a,29,-1.982764303912243,53.41545429712709,679744.7077694816,298957.68,26,27,835591.65,336016.17,0.38
toggle navigation,28,-2.1431277117998606,53.82053213095706,599797.3149432213,340094.35,33,18,738271.88,350507.09,0.29
don t,28,-2.3381299213314195,53.881275771319686,590394.2515717052,278107.76,51,35,739411.45,333877.89,0.22
on the,28,-2.1535862416078935,53.72855814912204,584658.7949631093,242512.61,39,32,722251.93,306680.98,0.38
desserts,28,-1.993101034369336,53.56335410155429,574327.2127057794,341334.05,29,24,703190.01,334418.71,0.21
ice cream,28,-2.4472791554831135,54.181751244661456,643562.5612359785,350038.49,29,36,787061.32,369670.3,0.22
in the,28,-2.196415757673025,53.75547788860005,534856.3067664152,251178.03,44,29,724669.28,310172.7,0.32
about us,28,-2.372115547829064,53.757018922302706,483178.74840227957,258467.33,40,36,642481.29,312669.13,0.25
chilli sauce,28,-2.350209656439308,54.47015807129859,601513.3842766101,316098.45,38,26,721995.3,342216.82,0.39
half pounder,27,-2.494130888853133,54.17133456374042,501308.4671836669,321538.54,26,29,640659.24,308744.35,0.33
garlic bread,27,-2.5620287097238212,54.628891415974536,542178.3866514795,306126.79,42,44,759189.33,329333.2,0.28
opening times,27,-2.479842737323473,53.65664707480347,589538.7272580237,268837.69,37,36,777028.39,327128.68,0.22
quarter pounder,27,-2.5453450991486224,54.3686297910733,537692.1840384005,316639.76,29,34,676698.13,328646.94,0.33
coleslaw,27,-2.48940137974346,53.90710994397727,514109.12161298527,381654.19,21,27,637733.61,340915.64,0.13
chip shop,27,-2.912206513400017,54.64047923122463,590566.2778828499,281918.46,29,34,853161.0,327213.65,0.21
portion of,27,-2.744748559458241,54.32043417131507,648114.3000001806,321394.0,29,29,800367.76,344777.13,0.19
