word,coordinations
or black,"53.7446,-0.33525 53.79648,-1.54785 "
funghi tagliatelle,"55.95206,-3.19648 "
free irn,"54.77560,-1.58374 54.97328,-1.61396 "
pasta bolognaise,"54.57309,-1.23258 "
fillet balls,"53.41058,-2.97794 "
sized pieces,"54.97328,-1.61396 "
pardasi vegetables,"55.45862,-4.62849 "
nuances of,"51.51279,-0.09184 "
seasonal favourites,"51.51279,-0.09184 "
dad in,"53.79648,-1.54785 "
pudding cake,"53.79648,-1.54785 "
changes in,"55.95206,-3.19648 "
and tomatoes,"53.79391,-1.75206 56.46913,-2.97489 "
frappato roceno,"51.51279,-0.09184 "
a gluten,"52.9536,-1.15047 52.9536,-1.15047 57.47908,-4.22398 "
lobster prawns,"54.89228,-2.93206 "
three pieces,"54.58333,-5.93333 "
spicy sriracha,"54.58333,-5.93333 "
locals and,"53.79391,-1.75206 "
choice tub,"53.79648,-1.54785 "
duck black,"53.41058,-2.97794 "
kebabs excluding,"55.95206,-3.19648 "
will make,"50.15201,-5.06654 "
birds bread,"52.9536,-1.15047 52.9536,-1.15047 "
cake on,"53.48095,-2.23743 "
peri pastie,"53.48095,-2.23743 "
raspberry banana,"55.07216,-3.60218 "
wednesday,"52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 53.38297,-1.4659 53.38297,-1.4659 52.40656,-1.51217 52.40656,-1.51217 52.40656,-1.51217 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 53.79648,-1.54785 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 53.79391,-1.75206 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 53.00415,-2.18538 53.00415,-2.18538 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 53.48095,-2.23743 51.45523,-2.59665 51.45523,-2.59665 54.89228,-2.93206 53.41058,-2.97794 53.41058,-2.97794 53.41058,-2.97794 51.48,-3.18 51.48,-3.18 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 50.71936,-3.53271 50.71936,-3.53271 51.62125,-3.94490 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 54.58333,-5.93333 52.20765,0.13200 50.83333,0.13333 52.05834,1.15472 "
chicken whole,"50.83333,0.13333 "
sol ml,"51.48,-3.18 "
stop will,"54.58333,-5.93333 "
your website,"54.57309,-1.23258 "
x lb,"55.95206,-3.19648 "
main courses,"51.51279,-0.09184 51.51279,-0.09184 53.79648,-1.54785 "
monster energy,"54.77560,-1.58374 54.97328,-1.61396 51.48,-3.18 "
delivery charge,"56.46913,-2.97489 "
large range,"50.15201,-5.06654 "
vegetarian calzones,"52.9536,-1.15047 "
large party,"52.05834,1.15472 "
pizza chips,"54.90465,-1.38222 53.79648,-1.54785 53.79391,-1.75206 52.48142,-1.89983 57.14369,-2.09814 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 55.07216,-3.60218 52.63220,1.28925 "
tikka jalapenos,"52.6386,-1.13169 52.48142,-1.89983 "
double chip,"52.40656,-1.51217 "
for quick,"54.97328,-1.61396 "
butter cup,"54.77560,-1.58374 "
drink p,"53.79391,-1.75206 "
cooking,"52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 52.40656,-1.51217 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 52.48142,-1.89983 52.48142,-1.89983 57.14369,-2.09814 53.00415,-2.18538 53.00415,-2.18538 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 55.07216,-3.60218 55.07216,-3.60218 52.20765,0.13200 52.63220,1.28925 "
dressing served,"54.58333,-5.93333 "
range rib,"54.77560,-1.58374 54.66411,-2.75257 "
scotch egg,"54.99620,-7.30237 "
cumberland sausages,"55.95206,-3.19648 "
drink a,"53.7446,-0.33525 56.46913,-2.97489 "
friary fish,"57.47908,-4.22398 "
coke coke,"54.58333,-5.93333 "
with prawns,"50.71936,-3.53271 55.07216,-3.60218 "
by sustainable,"53.79391,-1.75206 "
bap the,"54.58333,-5.93333 "
salad per,"52.6386,-1.13169 "
chilli tomato,"55.95206,-3.19648 "
beef pastie,"51.62125,-3.94490 "
kids,"53.79391,-1.75206 53.79391,-1.75206 54.32822,-2.74565 55.86515,-4.25763 55.45862,-4.62849 "
ricotta filling,"55.95206,-3.19648 "
are just,"52.40656,-1.51217 "
enjoy a,"53.41058,-2.97794 "
me sachet,"53.79391,-1.75206 "
muirhead,"56.46913,-2.97489 "
pizza curry,"55.95206,-3.19648 "
golden,"51.51279,-0.09184 53.79391,-1.75206 "
kethcup,"53.79391,-1.75206 "
casks abv,"55.95206,-3.19648 "
or just,"52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 "
you up,"54.58333,-5.93333 "
supper a,"54.58333,-5.93333 "
a portion,"53.79391,-1.75206 52.48142,-1.89983 53.41058,-2.97794 55.86515,-4.25763 55.45862,-4.62849 54.58333,-5.93333 "
salad chips,"52.9536,-1.15047 54.90465,-1.38222 54.97328,-1.61396 53.00415,-2.18538 53.00415,-2.18538 54.89228,-2.93206 53.41058,-2.97794 55.86515,-4.25763 55.86515,-4.25763 "
about towngate,"53.79391,-1.75206 "
party orders,"53.79391,-1.75206 52.05834,1.15472 "
delicious rib,"54.58333,-5.93333 "
bechaemel sauce,"54.97328,-1.61396 "
we peel,"53.79648,-1.54785 "
tikka served,"56.46913,-2.97489 "
strangers from,"50.15201,-5.06654 "
s mini,"53.38297,-1.4659 "
each available,"53.00415,-2.18538 "
fresh daily,"51.51279,-0.09184 "
s mine,"52.40656,-1.51217 "
wings plain,"53.38297,-1.4659 "
with tartar,"52.6386,-1.13169 54.77560,-1.58374 55.95206,-3.19648 55.86515,-4.25763 "
find it,"54.89228,-2.93206 "
breast steaks,"55.95206,-3.19648 55.95206,-3.19648 "
ketchup dip,"52.9536,-1.15047 54.57309,-1.23258 55.95206,-3.19648 54.58333,-5.93333 52.05834,1.15472 "
our corned,"51.48,-3.18 "
we went,"50.15201,-5.06654 "
swan church,"53.00415,-2.18538 "
a fresh,"51.51279,-0.09184 55.45862,-4.62849 54.58333,-5.93333 "
fish salad,"53.79391,-1.75206 "
thursday to,"51.51279,-0.09184 "
with seasoned,"53.79391,-1.75206 55.95206,-3.19648 "
or x,"54.90465,-1.38222 54.77560,-1.58374 55.86515,-4.25763 52.63220,1.28925 "
our mailng,"52.6386,-1.13169 "
or a,"51.51279,-0.09184 53.79648,-1.54785 54.97328,-1.61396 54.97328,-1.61396 53.48095,-2.23743 54.89228,-2.93206 56.46913,-2.97489 54.58333,-5.93333 50.83333,0.13333 "
bru ml,"57.14369,-2.09814 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.95206,-3.19648 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.86515,-4.25763 55.45862,-4.62849 55.45862,-4.62849 "
or l,"52.6386,-1.13169 54.90465,-1.38222 54.90465,-1.38222 54.97328,-1.61396 52.48142,-1.89983 55.45862,-4.62849 "
inch siciliano,"54.97328,-1.61396 "
chips manchester,"53.48095,-2.23743 "
falmouth bay,"50.15201,-5.06654 "
cellar medium,"52.6386,-1.13169 "
more cheese,"52.9536,-1.15047 "
notifications emails,"52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 52.40656,-1.51217 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 52.48142,-1.89983 52.48142,-1.89983 57.14369,-2.09814 53.00415,-2.18538 53.00415,-2.18538 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 55.07216,-3.60218 55.07216,-3.60218 52.20765,0.13200 52.63220,1.28925 "
of animal,"53.79391,-1.75206 "
near collapse,"53.79391,-1.75206 "
delivery areas,"53.48095,-2.23743 53.48095,-2.23743 51.48,-3.18 "
butter chicken,"52.6386,-1.13169 52.6386,-1.13169 54.57309,-1.23258 "
salami baguette,"53.79648,-1.54785 "
small battered,"52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 53.38297,-1.4659 53.38297,-1.4659 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 53.00415,-2.18538 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 51.62125,-3.94490 50.37771,-4.14082 55.86515,-4.25763 52.20765,0.13200 "
delicious assorted,"54.90465,-1.38222 "
delivered in,"55.86515,-4.25763 "
crispy tempura,"55.95206,-3.19648 "
you back,"51.51279,-0.09184 "
spices prepared,"52.6386,-1.13169 "
tuna black,"52.40656,-1.51217 "
enjoyed your,"51.48,-3.18 "
discount is,"53.79391,-1.75206 "
directions will,"54.89228,-2.93206 "
place ever,"54.77560,-1.58374 "
horsforth fish,"53.79648,-1.54785 "
hot choc,"53.00415,-2.18538 "
pieces chicken,"52.6386,-1.13169 52.9536,-1.15047 52.40656,-1.51217 53.79648,-1.54785 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 57.14369,-2.09814 51.45523,-2.59665 "
h paneer,"52.6386,-1.13169 "
vegetable madras,"52.6386,-1.13169 56.46913,-2.97489 "
j diet,"54.89228,-2.93206 "
fish products,"53.7446,-0.33525 "
can call,"53.79648,-1.54785 "
without onions,"53.41058,-2.97794 "
orange thirsty,"53.79391,-1.75206 "
indian cottage,"52.6386,-1.13169 "
options and,"52.40656,-1.51217 "
wine has,"51.51279,-0.09184 "
soya sulphites,"51.48,-3.18 "
pounder mixed,"54.57309,-1.23258 "
coleslaw chicken,"54.58333,-5.93333 "
fact a,"53.79391,-1.75206 "
are not,"53.79648,-1.54785 53.79648,-1.54785 53.79391,-1.75206 51.48,-3.18 55.95206,-3.19648 54.58333,-5.93333 "
ml canned,"53.79391,-1.75206 "
bacon cumberland,"55.95206,-3.19648 "
jar ede,"50.37771,-4.14082 "
report this,"53.48095,-2.23743 "
for lack,"52.40656,-1.51217 "
peas or,"51.51279,-0.09184 53.7446,-0.33525 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 54.57309,-1.23258 52.40656,-1.51217 52.40656,-1.51217 53.79648,-1.54785 53.79648,-1.54785 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 52.48142,-1.89983 52.48142,-1.89983 53.00415,-2.18538 53.48095,-2.23743 54.32822,-2.74565 54.89228,-2.93206 54.89228,-2.93206 50.37771,-4.14082 50.37771,-4.14082 55.86515,-4.25763 54.58333,-5.93333 "
pizzas bag,"54.77560,-1.58374 55.86515,-4.25763 "
eggs on,"55.95206,-3.19648 "
of vinegar,"52.6386,-1.13169 52.6386,-1.13169 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 53.38297,-1.4659 52.40656,-1.51217 52.40656,-1.51217 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 53.79391,-1.75206 52.48142,-1.89983 52.48142,-1.89983 53.00415,-2.18538 "
inch kohenoor,"56.46913,-2.97489 "
small lamb,"52.9536,-1.15047 52.9536,-1.15047 "
your parmesan,"54.97328,-1.61396 "
naughty choclate,"54.97328,-1.61396 "
herbs cooked,"55.95206,-3.19648 55.95206,-3.19648 "
salami chicken,"52.9536,-1.15047 54.90465,-1.38222 53.00415,-2.18538 53.41058,-2.97794 55.95206,-3.19648 "
or dine,"51.51279,-0.09184 "
mothertown just,"53.00415,-2.18538 "
wine and,"54.89228,-2.93206 "
as iron,"53.79391,-1.75206 "
tikka king,"56.46913,-2.97489 "
special mix,"53.79648,-1.54785 51.45523,-2.59665 "
tuck bloomfield,"54.58333,-5.93333 "
skate plaice,"53.7446,-0.33525 "
over this,"50.15201,-5.06654 "
is fresh,"53.79648,-1.54785 55.95206,-3.19648 "
farmhouse pizza,"52.6386,-1.13169 53.38297,-1.4659 54.77560,-1.58374 50.83333,0.13333 "
proscuitto special,"54.97328,-1.61396 "
lumma chicken,"54.97328,-1.61396 "
get closer,"51.51279,-0.09184 "
ketchup sachet,"52.48142,-1.89983 "
striving for,"51.62125,-3.94490 "
maureen warrior,"53.7446,-0.33525 "
chilli mayonnaise,"50.71936,-3.53271 "
spumante prosecco,"55.95206,-3.19648 "
soya is,"54.89228,-2.93206 "
and cooked,"52.6386,-1.13169 54.90465,-1.38222 53.79648,-1.54785 56.46913,-2.97489 51.48,-3.18 51.48,-3.18 55.86515,-4.25763 55.45862,-4.62849 "
paneer pakora,"52.6386,-1.13169 52.6386,-1.13169 "
caramel apple,"55.95206,-3.19648 "
dough balls,"55.07216,-3.60218 "
and mint,"52.9536,-1.15047 53.79391,-1.75206 "
just remember,"53.79391,-1.75206 "
add chicken,"51.48,-3.18 50.83333,0.13333 "
food may,"54.97328,-1.61396 "
now accept,"53.79648,-1.54785 "
extensive pizza,"53.48095,-2.23743 "
italian parma,"55.95206,-3.19648 "
kids bob,"52.40656,-1.51217 "
angel burger,"54.66411,-2.75257 "
mushroom sauce,"55.07216,-3.60218 "
kids box,"54.32822,-2.74565 50.37771,-4.14082 52.20765,0.13200 52.05834,1.15472 "
jumped at,"53.79391,-1.75206 "
to find,"52.9536,-1.15047 52.9536,-1.15047 53.79648,-1.54785 53.79391,-1.75206 53.48095,-2.23743 53.48095,-2.23743 56.46913,-2.97489 51.48,-3.18 55.86515,-4.25763 "
this rose,"51.51279,-0.09184 "
burrowgate sandgate,"54.66411,-2.75257 "
nuggets regular,"52.6386,-1.13169 50.71936,-3.53271 "
take out,"51.51279,-0.09184 51.62125,-3.94490 55.86515,-4.25763 "
h crispy,"52.6386,-1.13169 "
minimum charge,"52.6386,-1.13169 53.79648,-1.54785 "
take our,"53.48095,-2.23743 54.58333,-5.93333 54.58333,-5.93333 "
sml cod,"51.48,-3.18 51.48,-3.18 "
souther fried,"51.51279,-0.09184 "
please select,"52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 52.9536,-1.15047 54.57309,-1.23258 54.90465,-1.38222 53.79648,-1.54785 54.77560,-1.58374 54.97328,-1.61396 54.97328,-1.61396 53.79391,-1.75206 53.79391,-1.75206 53.79391,-1.75206 52.48142,-1.89983 52.48142,-1.89983 57.14369,-2.09814 53.00415,-2.18538 53.00415,-2.18538 54.89228,-2.93206 54.89228,-2.93206 54.89228,-2.93206 56.46913,-2.97489 56.46913,-2.97489 55.07216,-3.60218 55.07216,-3.60218 54.58333,-5.93333 54.58333,-5.93333 52.20765,0.13200 52.63220,1.28925 "
seafood served,"53.79648,-1.54785 "
other dishes,"51.51279,-0.09184 "
in birmingham,"52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 52.48142,-1.89983 "
creamy turmeric,"52.6386,-1.13169 "
zesty acidity,"53.79648,-1.54785 "
spaghetti arrabiatta,"55.86515,-4.25763 "
sunlight temperature,"53.79391,-1.75206 "
wetherby whaler,"53.79648,-1.54785 "
outside real,"54.58333,-5.93333 "
pancake rolls,"54.89228,-2.93206 52.20765,0.13200 "
bbq medium,"52.40656,-1.51217 "
onions red,"52.48142,-1.89983 52.48142,-1.89983 "
popular and,"50.15201,-5.06654 "
the carraro,"55.95206,-3.19648 "
an average,"54.66411,-2.75257 "
we try,"53.79391,-1.75206 "
just out,"52.40656,-1.51217 "
famous for,"52.40656,-1.51217 "
dark profiteroles,"55.07216,-3.60218 "
madras lamb,"53.79648,-1.54785 55.45862,-4.62849 "
cut sandwiches,"54.90465,-1.38222 "
banana on,"53.79648,-1.54785 "
basil and,"51.48,-3.18 "
two finely,"54.90465,-1.38222 "
and olives,"52.9536,-1.15047 52.48142,-1.89983 53.00415,-2.18538 54.89228,-2.93206 54.89228,-2.93206 55.95206,-3.19648 55.07216,-3.60218 55.07216,-3.60218 "
pakora pcs,"57.14369,-2.09814 "
margherita pizza,"52.6386,-1.13169 52.9536,-1.15047 53.38297,-1.4659 52.40656,-1.51217 52.40656,-1.51217 53.79648,-1.54785 54.77560,-1.58374 54.77560,-1.58374 54.77560,-1.58374 54.97328,-1.61396 53.79391,-1.75206 52.48142,-1.89983 53.48095,-2.23743 53.41058,-2.97794 55.95206,-3.19648 55.95206,-3.19648 57.47908,-4.22398 55.86515,-4.25763 55.86515,-4.25763 55.45862,-4.62849 55.45862,-4.62849 50.83333,0.13333 "
 small,"52.9536,-1.15047 "
shop at,"53.79648,-1.54785 "
quality takeaway,"53.7446,-0.33525 "
i ll,"50.15201,-5.06654 "
mouthful bursting,"54.58333,-5.93333 "
big hit,"53.79391,-1.75206 "
mussels g,"56.46913,-2.97489 55.86515,-4.25763 "
chippy fishmonger,"54.97328,-1.61396 "
dd ag,"56.46913,-2.97489 "
a larger,"51.48,-3.18 "
as halal,"54.97328,-1.61396 53.48095,-2.23743 53.48095,-2.23743 51.48,-3.18 "
bbq chip,"54.58333,-5.93333 "
of breast,"54.58333,-5.93333 "
wanted to,"53.7446,-0.33525 55.86515,-4.25763 "
scampi pc,"52.9536,-1.15047 52.9536,-1.15047 54.97328,-1.61396 "
small scoop,"55.86515,-4.25763 55.86515,-4.25763 "
picked onion,"51.48,-3.18 "
bradford,"53.79391,-1.75206 53.79391,-1.75206 "
hours tuesday,"50.83333,0.13333 "
american spice,"54.32822,-2.74565 "
fritters for,"53.00415,-2.18538 52.05834,1.15472 "
or one,"54.77560,-1.58374 54.97328,-1.61396 "
strawberries banana,"52.40656,-1.51217 "
a long,"53.79648,-1.54785 53.79648,-1.54785 53.41058,-2.97794 51.48,-3.18 55.95206,-3.19648 "
harm so,"51.48,-3.18 "
balfield rd,"56.46913,-2.97489 "
shawarma only,"53.48095,-2.23743 "
shrimp curry,"53.41058,-2.97794 50.71936,-3.53271 52.20765,0.13200 "
peace of,"50.37771,-4.14082 "
feel able,"50.15201,-5.06654 "
pjs put,"50.83333,0.13333 "
the list,"54.97328,-1.61396 "
rice,"52.6386,-1.13169 52.6386,-1.13169 52.40656,-1.51217 53.79391,-1.75206 53.48095,-2.23743 54.66411,-2.75257 56.46913,-2.97489 53.41058,-2.97794 53.41058,-2.97794 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.48,-3.18 51.62125,-3.94490 55.86515,-4.25763 55.86515,-4.25763 55.45862,-4.62849 54.58333,-5.93333 52.20765,0.13200 "
or margherita,"54.97328,-1.61396 53.41058,-2.97794 "
youd like,"51.48,-3.18 "
sweetcorn pepper,"54.90465,-1.38222 "
super smoked,"57.47908,-4.22398 "
italian bolognese,"55.95206,-3.19648 "
firenze,"54.97328,-1.61396 "
mince pattie,"54.89228,-2.93206 "
dantes special,"55.07216,-3.60218 "
at least,"53.79391,-1.75206 53.48095,-2.23743 55.95206,-3.19648 "
