word,cityNumber,word_central_lon,word_central_lat,radius,median,shopNumberLessThanMedian,shopNumberLargerThanMedian,largestDistance,avgDistance,word_ratio,regional
donner in,7,-1.4985534192856793,52.86649843086435,174971.75672841613,95773.36,7,4,217671.26,126849.97,1,Y
potato pie,7,-1.967965130408119,53.379005139958316,120370.70985347922,81344.22,7,5,198748.23,96842.51,1,Y
pie dinner,2,-2.7327827551027615,53.48729993865789,123285.81490403009,77040.26,4,1,123285.81,77040.26,1,N
red cola,4,-3.522511424017499,55.73724422541669,130556.65260555164,108062.51,7,3,177687.05,112427.04,1,N
in tray,4,-1.6913855490773706,52.62092533120654,89374.24602017902,75846.85,5,2,218859.11,101255.23,1,N
spicy haggis,4,-3.082028322535006,56.321208684118076,199419.8830353217,116990.39,8,3,199419.88,116354.54,1,Y
pounder chilli,2,-2.4927024989415227,54.91929643756068,98269.02092142474,73700.98,2,1,98269.02,73700.98,1,N
snacks,2,-3.673835798516672,55.78776784413649,124378.815663122,93324.51,2,1,124378.82,93324.51,1,N
quarter pizza,3,-4.127418504157237,55.89350403174493,172191.7524026454,102269.67,5,2,172191.75,96664.32,1,N
excellent value,2,-1.4241855141578494,54.14382381284321,145851.8685900528,144527.51,1,1,145851.87,144527.51,1,N
cheese any,2,-3.2671240165591904,54.982189975785246,41142.15246708809,41131.82,1,1,41142.15,41131.82,1,N
pudding supper,6,-3.8287059335654607,55.890612062853556,149572.9094061347,136360.79,25,3,317539.91,145357.01,0.96,Y
chip roll,6,-3.3862435733983873,55.81691317660423,187782.3651925153,151545.02,19,6,303159.92,161019.64,0.96,Y
pizza supper,5,-3.7417787799699562,55.93120478679595,137234.88838644506,135702.4,20,3,305289.23,139567.83,0.96,Y
steak single,3,-3.6191261182956813,55.972638193368354,290595.1550018222,74132.99,10,10,290595.16,137300.56,0.95,Y
sausage single,6,-3.8445927110908418,55.88966945528613,150843.77226152114,136296.15,26,3,683236.61,232316.22,0.93,Y
pie supper,6,-3.8287059335654647,55.89061206285356,149572.9094061307,136360.79,25,3,496302.92,200979.15,0.93,Y
in naan,5,-1.518855783648499,52.60335439156255,76310.14596578242,47870.48,4,8,222526.29,85239.38,0.92,Y
king rib,8,-3.663534211927365,55.86190479363442,206469.02088082256,149244.11,37,7,333214.24,175520.1,0.91,Y
pizza single,5,-3.8710517933480344,55.8789438615757,118158.77635365483,118158.78,20,3,682159.5,248406.33,0.91,Y
rump steak,2,-2.789382922747296,55.650022334538974,730889.3792510484,402926.45,10,1,730889.38,402926.45,0.91,Y
bites and,6,-1.555729773200848,54.5199339435019,139588.68819687926,112483.39,7,4,297924.94,124843.73,0.91,Y
mini cod,7,-1.7494026355900318,52.751531690630664,145628.2821390099,71743.62,6,4,279871.92,115159.36,0.9,N
masala fish,7,-1.847486957385889,53.09740546456382,132283.60702458778,113413.31,4,6,593892.93,168118.68,0.9,N
all steak,7,-1.3531899926346123,52.73840564401575,119920.73791705805,76870.82,14,7,436091.3,153949.64,0.9,Y
chilli or,5,-1.7956640268492996,54.88875057775213,203994.8762188301,46075.54,7,3,338179.99,129275.91,0.9,N
hot shot,8,-1.6559283846832837,54.6099459644592,234095.97274930676,112672.88,13,6,412404.52,146530.93,0.89,Y
