word,shop_num_less_value,total_shop_num,propotion,regional
aided,1,1,1.0,unknown
kickstart,1,1,1.0,unknown
sauasag,1,1,1.0,unknown
monte,1,1,1.0,unknown
nottingham,5,5,1.0,unknown
lauriston,1,1,1.0,unknown
accreditations,1,1,1.0,unknown
clotted,1,1,1.0,unknown
imperiale,1,1,1.0,unknown
cringleford,1,1,1.0,unknown
integrity,1,1,1.0,unknown
whose,1,1,1.0,unknown
caston,1,1,1.0,unknown
aug,1,1,1.0,unknown
burslem,1,1,1.0,unknown
nouget,1,1,1.0,unknown
punjab,1,1,1.0,unknown
swan,1,1,1.0,unknown
herby,1,1,1.0,unknown
moisture,1,1,1.0,unknown
tickle,1,1,1.0,unknown
buddi,1,1,1.0,unknown
regal,1,1,1.0,unknown
burgerwith,1,1,1.0,unknown
merchant,2,2,1.0,unknown
lemondade,1,1,1.0,unknown
risk,1,1,1.0,unknown
chinotto,1,1,1.0,unknown
gourment,1,1,1.0,unknown
broighter,1,1,1.0,unknown
mania,2,2,1.0,unknown
kilkeel,1,1,1.0,unknown
bringing,1,1,1.0,unknown
excited,1,1,1.0,unknown
chapel,1,1,1.0,unknown
cancel,1,1,1.0,unknown
founded,1,1,1.0,unknown
baking,1,1,1.0,unknown
nutrition,1,1,1.0,unknown
harport,1,1,1.0,unknown
integrated,1,1,1.0,unknown
swansea,1,1,1.0,unknown
courgette,1,1,1.0,unknown
greenish,1,1,1.0,unknown
delightfully,1,1,1.0,unknown
harriet,1,1,1.0,unknown
stating,1,1,1.0,unknown
vincenzo,1,1,1.0,unknown
bradfordwho,1,1,1.0,unknown
fudgey,1,1,1.0,unknown
speci,2,2,1.0,unknown
pollock,1,1,1.0,unknown
scorcher,1,1,1.0,unknown
direct,1,1,1.0,unknown
elegant,1,1,1.0,unknown
tortillla,1,1,1.0,unknown
mazaedar,1,1,1.0,unknown
soave,1,1,1.0,unknown
phoned,1,1,1.0,unknown
kent,1,1,1.0,unknown
wouldnt,1,1,1.0,unknown
ain,1,1,1.0,unknown
mogo,1,1,1.0,unknown
sheffield,5,5,1.0,unknown
consisting,1,1,1.0,unknown
sugo,1,1,1.0,unknown
giardenara,1,1,1.0,unknown
jarrow,1,1,1.0,unknown
wrapping,1,1,1.0,unknown
specialise,1,1,1.0,unknown
china,1,1,1.0,unknown
textured,2,2,1.0,unknown
smokie,5,5,1.0,unknown
delle,1,1,1.0,unknown
norway,1,1,1.0,unknown
syrah,1,1,1.0,unknown
ronaldo,1,1,1.0,unknown
kopparberg,2,2,1.0,unknown
caprisosa,1,1,1.0,unknown
somosa,2,2,1.0,unknown
napoletana,1,1,1.0,unknown
chateau,2,2,1.0,unknown
suitable,2,2,1.0,unknown
godfather,1,1,1.0,unknown
tweet,1,1,1.0,unknown
bloomer,1,1,1.0,unknown
arrabbiata,1,1,1.0,unknown
kethcup,1,1,1.0,unknown
verdura,1,1,1.0,unknown
longforgan,1,1,1.0,unknown
xlarge,2,2,1.0,unknown
julia,2,2,1.0,unknown
middlesbrough,1,1,1.0,unknown
psomaki,1,1,1.0,unknown
soybean,1,1,1.0,unknown
pescatori,1,1,1.0,unknown
nine,2,2,1.0,unknown
blueberri,1,1,1.0,unknown
bronze,1,1,1.0,unknown
affordable,1,1,1.0,unknown
dumplings,1,1,1.0,unknown
program,1,1,1.0,unknown
marfleet,1,1,1.0,unknown
indiano,2,2,1.0,unknown
kabano,1,1,1.0,unknown
indiana,3,3,1.0,unknown
preserved,1,1,1.0,unknown
beyond,1,1,1.0,unknown
mush,1,1,1.0,unknown
moir,1,1,1.0,unknown
successful,1,1,1.0,unknown
giovanni,1,1,1.0,unknown
traceable,1,1,1.0,unknown
croquette,2,2,1.0,unknown
yahoo,1,1,1.0,unknown
melba,2,2,1.0,unknown
miravigna,1,1,1.0,unknown
frenzy,1,1,1.0,unknown
skittl,1,1,1.0,unknown
tweed,2,2,1.0,unknown
abundance,1,1,1.0,unknown
sorrentina,1,1,1.0,unknown
room,1,1,1.0,unknown
salsiccia,1,1,1.0,unknown
ewing,1,1,1.0,unknown
unfortunately,1,1,1.0,unknown
spec,1,1,1.0,unknown
sweeter,1,1,1.0,unknown
bramley,1,1,1.0,unknown
carmen,2,2,1.0,unknown
pastiesaveloysausage,1,1,1.0,unknown
beautifully,1,1,1.0,unknown
micky,1,1,1.0,unknown
carlsburg,1,1,1.0,unknown
crouton,1,1,1.0,unknown
dew,1,1,1.0,unknown
caution,1,1,1.0,unknown
appointment,1,1,1.0,unknown
cottingley,1,1,1.0,unknown
anything,1,1,1.0,unknown
cacciatora,1,1,1.0,unknown
beansprouy,1,1,1.0,unknown
guarantee,1,1,1.0,unknown
pardasi,1,1,1.0,unknown
polio,1,1,1.0,unknown
straightforward,1,1,1.0,unknown
enu,1,1,1.0,unknown
friery,2,2,1.0,unknown
decante,2,2,1.0,unknown
nazma,1,1,1.0,unknown
enquire,1,1,1.0,unknown
trusted,1,1,1.0,unknown
hop,2,2,1.0,unknown
answer,1,1,1.0,unknown
yum,2,2,1.0,unknown
supperett,1,1,1.0,unknown
ribeena,1,1,1.0,unknown
lam,1,1,1.0,unknown
faq,1,1,1.0,unknown
sussex,1,1,1.0,unknown
cuisine,1,1,1.0,unknown
mess,2,2,1.0,unknown
loyalty,2,2,1.0,unknown
lab,1,1,1.0,unknown
cannelloni,1,1,1.0,unknown
arrapiata,1,1,1.0,unknown
composter,1,1,1.0,unknown
alwayvnice,1,1,1.0,unknown
sparkler,1,1,1.0,unknown
beaute,1,1,1.0,unknown
delicaci,1,1,1.0,unknown
ilkley,1,1,1.0,unknown
manter,1,1,1.0,unknown
shirt,1,1,1.0,unknown
retail,1,1,1.0,unknown
chandos,1,1,1.0,unknown
third,1,1,1.0,unknown
manic,1,1,1.0,unknown
molluscs,1,1,1.0,unknown
birchington,1,1,1.0,unknown
appreciate,1,1,1.0,unknown
complexity,1,1,1.0,unknown
ultimate,1,1,1.0,unknown
tantalizing,1,1,1.0,unknown
veggi,1,1,1.0,unknown
origin,1,1,1.0,unknown
fife,1,1,1.0,unknown
office,1,1,1.0,unknown
welcomed,1,1,1.0,unknown
consent,1,1,1.0,unknown
appletizer,1,1,1.0,unknown
popadom,1,1,1.0,unknown
krombacher,1,1,1.0,unknown
limoncetta,1,1,1.0,unknown
helena,1,1,1.0,unknown
responsive,1,1,1.0,unknown
chipppy,1,1,1.0,unknown
doncaster,1,1,1.0,unknown
exchange,1,1,1.0,unknown
cante,1,1,1.0,unknown
vento,2,2,1.0,unknown
fit,1,1,1.0,unknown
savori,1,1,1.0,unknown
michele,1,1,1.0,unknown
avocado,2,2,1.0,unknown
expectations,1,1,1.0,unknown
chapatis,1,1,1.0,unknown
somewhat,1,1,1.0,unknown
decaffeinated,1,1,1.0,unknown
croquet,1,1,1.0,unknown
admirable,1,1,1.0,unknown
strength,1,1,1.0,unknown
proscco,2,2,1.0,unknown
pleasurable,1,1,1.0,unknown
spotless,1,1,1.0,unknown
hawthorn,1,1,1.0,unknown
gaelic,1,1,1.0,unknown
municipality,1,1,1.0,unknown
celiac,1,1,1.0,unknown
hashbrown,1,1,1.0,unknown
break,2,2,1.0,unknown
band,1,1,1.0,unknown
thaulero,1,1,1.0,unknown
bream,3,3,1.0,unknown
jolliffe,1,1,1.0,unknown
glazed,3,3,1.0,unknown
pinkish,1,1,1.0,unknown
silver,2,2,1.0,unknown
bank,1,1,1.0,unknown
gouj,1,1,1.0,unknown
botanic,1,1,1.0,unknown
adana,1,1,1.0,unknown
alex,1,1,1.0,unknown
thyme,1,1,1.0,unknown
veneger,2,2,1.0,unknown
reasonably,1,1,1.0,unknown
langoustine,1,1,1.0,unknown
estimated,1,1,1.0,unknown
antrim,1,1,1.0,unknown
toffe,1,1,1.0,unknown
ony,1,1,1.0,unknown
anastasia,1,1,1.0,unknown
victory,1,1,1.0,unknown
went,2,2,1.0,unknown
bolonese,1,1,1.0,unknown
rosemary,1,1,1.0,unknown
lifted,1,1,1.0,unknown
diggidy,1,1,1.0,unknown
laboratori,1,1,1.0,unknown
diane,1,1,1.0,unknown
though,2,2,1.0,unknown
turnip,1,1,1.0,unknown
sunniside,1,1,1.0,unknown
kohenoor,1,1,1.0,unknown
whit,1,1,1.0,unknown
extract,1,1,1.0,unknown
fatty,1,1,1.0,unknown
goo,1,1,1.0,unknown
chap,1,1,1.0,unknown
driving,1,1,1.0,unknown
trentham,1,1,1.0,unknown
god,1,1,1.0,unknown
crucial,1,1,1.0,unknown
rodeo,3,3,1.0,unknown
horsforth,1,1,1.0,unknown
george,1,1,1.0,unknown
heavenly,1,1,1.0,unknown
palak,1,1,1.0,unknown
gamberetti,1,1,1.0,unknown
sma,1,1,1.0,unknown
foundation,1,1,1.0,unknown
clarence,1,1,1.0,unknown
ayr,1,1,1.0,unknown
harry,1,1,1.0,unknown
management,2,2,1.0,unknown
poppy,1,1,1.0,unknown
grapey,1,1,1.0,unknown
uncooked,1,1,1.0,unknown
carbohydrate,1,1,1.0,unknown
lothian,2,2,1.0,unknown
itsabigcatch,1,1,1.0,unknown
filter,1,1,1.0,unknown
brushchetta,1,1,1.0,unknown
ish,1,1,1.0,unknown
speedy,1,1,1.0,unknown
isn,1,1,1.0,unknown
onto,1,1,1.0,unknown
gloucester,1,1,1.0,unknown
already,2,2,1.0,unknown
tilapia,1,1,1.0,unknown
shopper,1,1,1.0,unknown
grade,1,1,1.0,unknown
wasp,1,1,1.0,unknown
fishwith,1,1,1.0,unknown
hearing,1,1,1.0,unknown
sponsoring,1,1,1.0,unknown
another,3,3,1.0,unknown
sandgate,2,2,1.0,unknown
loaded,1,1,1.0,unknown
elderflower,3,3,1.0,unknown
ten,1,1,1.0,unknown
gooseberry,3,3,1.0,unknown
brgr,2,2,1.0,unknown
kinder,3,3,1.0,unknown
gut,1,1,1.0,unknown
master,2,2,1.0,unknown
tonja,1,1,1.0,unknown
gabriel,1,1,1.0,unknown
flamethrower,1,1,1.0,unknown
tripple,1,1,1.0,unknown
kiwi,1,1,1.0,unknown
nibbl,1,1,1.0,unknown
licious,1,1,1.0,unknown
collapse,3,3,1.0,unknown
glengettie,1,1,1.0,unknown
arancia,1,1,1.0,unknown
signup,1,1,1.0,unknown
pimms,1,1,1.0,unknown
